dateTime,shuntVoltageBattery,busVoltageBattery,currentBattery,powerBattery,shuntVoltageSolar,busVoltageSolar,currentSolar,powerSolar
2022-03-25 19:11:35.597999,-22.5,3.5880000591278076,-232.3000030517578,836.0,33.5,5.728000164031982,334.8999938964844,1916.0
2022-03-25 19:15:48.818304,-23.59000015258789,3.5959999561309814,-233.10000610351562,826.0,33.06999969482422,5.803999900817871,330.8999938964844,1920.0
2022-03-25 19:22:54.259007,-23.760000228881836,3.6040000915527344,-228.39999389648438,836.0,33.540000915527344,5.71999979019165,335.29998779296875,1920.0
2022-03-25 19:26:54.466135,-21.860000610351562,3.5959999561309814,-231.5,784.0,33.58000183105469,5.708000183105469,335.79998779296875,1914.0
2022-03-25 19:37:28.124256,-23.770000457763672,3.5999999046325684,-225.10000610351562,842.0,33.63999938964844,5.708000183105469,336.20001220703125,1916.0
2022-03-25 19:45:00.561807,-23.059999465942383,3.6040000915527344,-217.0,780.0,33.84000015258789,5.664000034332275,338.0,1914.0
2022-03-25 19:51:19.002265,-22.6200008392334,3.6040000915527344,-226.0,816.0,33.83000183105469,5.679999828338623,337.79998779296875,1920.0
2022-03-25 19:55:05.225770,-22.260000228881836,3.5999999046325684,-233.5,802.0,33.93000030517578,5.6479997634887695,339.3999938964844,1914.0
2022-03-25 20:01:58.658006,-23.389999389648438,3.611999988555908,-228.6999969482422,826.0,34.209999084472656,5.5920000076293945,342.0,1914.0
2022-03-25 20:01:58.659213,-23.389999389648438,3.611999988555908,-228.6999969482422,826.0,34.209999084472656,5.5920000076293945,342.0,1914.0
2022-03-25 20:05:20.868483,-22.1299991607666,3.6080000400543213,-224.6999969482422,810.0,33.619998931884766,5.716000080108643,336.0,1920.0
2022-03-25 20:09:37.082979,-23.200000762939453,3.611999988555908,-224.6999969482422,812.0,33.38999938964844,5.75600004196167,334.70001220703125,1926.0
2022-03-25 20:12:32.304679,-22.190000534057617,3.6080000400543213,-239.39999389648438,810.0,33.290000915527344,5.788000106811523,332.6000061035156,1926.0
2022-03-25 20:23:35.974661,-22.690000534057617,3.611999988555908,-237.5,816.0,33.06999969482422,5.828000068664551,331.0,1926.0
2022-03-25 20:30:39.441309,-23.229999542236328,3.611999988555908,-218.1999969482422,790.0,33.34000015258789,5.783999919891357,332.8999938964844,1926.0
2022-03-25 20:34:23.679053,-23.709999084472656,3.615999937057495,-224.10000610351562,852.0,33.83000183105469,5.679999828338623,338.5,1924.0
2022-03-25 20:40:51.152930,-23.770000457763672,3.619999885559082,-217.89999389648438,862.0,33.790000915527344,5.691999912261963,337.6000061035156,1924.0
