dateTime,c02,temperature,humidity
2022-03-25 19:09:27.820445,431,29,13
2022-03-25 19:09:37.849463,430,29,13
2022-03-25 19:09:47.878259,430,29,13
2022-03-25 19:09:57.907002,431,29,13
2022-03-25 19:10:07.936142,431,29,13
2022-03-25 19:10:17.964794,431,29,14
2022-03-25 19:10:28.008957,430,29,14
2022-03-25 19:10:38.038027,429,29,14
2022-03-25 19:10:48.066830,429,29,13
2022-03-25 19:10:58.096076,429,29,13
2022-03-25 19:11:08.124852,430,29,13
2022-03-25 19:11:18.154017,430,29,13
2022-03-25 19:11:28.183283,430,29,13
2022-03-25 19:11:38.211949,431,29,13
2022-03-25 19:11:48.240583,431,29,13
2022-03-25 19:11:58.269470,430,29,13
2022-03-25 19:12:08.298303,430,29,13
2022-03-25 19:12:18.327009,430,29,13
2022-03-25 19:12:28.356352,431,29,13
2022-03-25 19:12:38.400373,432,29,13
2022-03-25 19:12:48.429342,432,29,13
2022-03-25 19:12:58.458664,431,29,13
2022-03-25 19:13:08.488012,431,29,13
2022-03-25 19:13:18.516790,432,29,12
2022-03-25 19:13:28.545985,433,29,13
2022-03-25 19:13:38.575034,433,29,13
2022-03-25 19:13:48.603982,434,29,13
2022-03-25 19:13:58.632848,434,29,13
2022-03-25 19:14:08.661711,434,29,13
2022-03-25 19:14:18.690779,433,29,13
2022-03-25 19:14:28.719680,433,29,13
2022-03-25 19:14:38.748845,433,29,13
2022-03-25 19:14:48.793292,433,29,13
2022-03-25 19:14:58.807899,433,29,13
2022-03-25 19:15:08.851679,433,29,13
2022-03-25 19:15:18.880836,433,29,13
2022-03-25 19:15:28.909793,432,29,13
2022-03-25 19:15:38.938830,432,29,13
2022-03-25 19:15:48.968009,432,29,13
2022-03-25 19:15:58.996919,432,29,13
2022-03-25 19:16:09.025614,432,29,13
2022-03-25 19:16:19.054934,432,29,13
2022-03-25 19:16:29.083915,433,29,13
2022-03-25 19:16:39.112512,433,29,13
2022-03-25 19:16:49.141406,433,29,13
2022-03-25 19:16:59.186005,432,29,13
2022-03-25 19:17:09.215079,432,29,13
2022-03-25 19:17:19.244309,432,29,13
2022-03-25 19:17:29.273683,431,29,12
2022-03-25 19:17:39.302690,431,29,12
2022-03-25 19:17:49.331467,431,29,13
2022-03-25 19:17:59.360586,430,29,12
2022-03-25 19:18:09.389844,431,29,12
2022-03-25 19:18:19.418388,432,29,12
2022-03-25 19:18:29.447521,432,29,12
2022-03-25 19:18:39.476536,433,29,12
2022-03-25 19:18:49.505562,433,29,12
2022-03-25 19:18:59.550077,434,29,12
2022-03-25 19:19:09.579064,434,29,12
2022-03-25 19:19:19.608061,433,29,13
2022-03-25 19:19:29.636788,435,29,13
2022-03-25 19:19:39.666272,435,29,13
2022-03-25 19:19:49.695116,435,29,13
2022-03-25 19:19:59.724358,435,29,12
2022-03-25 19:20:09.753196,435,29,12
2022-03-25 19:20:19.782418,435,29,13
2022-03-25 19:20:29.826882,435,29,13
2022-03-25 19:20:39.840573,435,29,13
2022-03-25 19:20:49.884938,435,29,13
2022-03-25 19:20:59.914122,436,29,13
2022-03-25 19:21:09.943367,435,29,13
2022-03-25 19:21:19.972517,435,29,13
2022-03-25 19:21:30.001907,437,29,13
2022-03-25 19:21:40.030956,437,29,12
2022-03-25 19:21:50.060160,437,29,13
2022-03-25 19:22:00.089239,438,29,13
2022-03-25 19:22:10.118250,438,29,13
2022-03-25 19:22:20.147339,437,29,13
2022-03-25 19:22:30.176593,437,29,13
2022-03-25 19:22:40.220886,437,29,13
2022-03-25 19:22:50.234709,437,29,13
2022-03-25 19:23:00.278894,436,29,13
2022-03-25 19:23:10.308080,436,29,12
2022-03-25 19:23:20.337159,436,29,13
2022-03-25 19:23:30.366414,436,29,13
2022-03-25 19:23:40.395766,436,29,13
2022-03-25 19:23:50.425058,436,29,12
2022-03-25 19:24:00.454031,436,29,12
2022-03-25 19:24:10.482852,437,29,12
2022-03-25 19:24:20.512133,438,29,13
2022-03-25 19:24:30.540728,438,29,13
2022-03-25 19:24:40.585205,438,29,12
2022-03-25 19:24:50.614346,438,29,13
2022-03-25 19:25:00.643623,438,29,13
2022-03-25 19:25:10.672533,439,29,13
2022-03-25 19:25:20.701803,439,29,12
2022-03-25 19:25:30.731044,438,29,12
2022-03-25 19:25:40.760020,438,29,12
2022-03-25 19:25:50.789086,437,29,12
2022-03-25 19:26:00.818136,437,29,12
2022-03-25 19:26:10.847218,438,29,12
2022-03-25 19:26:20.876205,438,29,12
2022-03-25 19:26:30.920864,438,29,12
2022-03-25 19:26:40.950135,437,29,12
2022-03-25 19:26:50.979045,437,29,12
2022-03-25 19:27:01.008238,436,29,13
2022-03-25 19:27:11.037566,437,29,12
2022-03-25 19:27:21.066739,437,29,12
2022-03-25 19:27:31.095991,437,29,12
2022-03-25 19:27:41.125208,438,29,12
2022-03-25 19:27:51.154317,437,29,13
2022-03-25 19:28:01.183435,437,29,13
2022-03-25 19:28:11.212343,438,29,13
2022-03-25 19:28:21.241478,437,29,13
2022-03-25 19:28:31.270561,437,29,13
2022-03-25 19:28:41.314909,437,29,13
2022-03-25 19:28:51.344260,437,29,13
2022-03-25 19:29:01.373290,436,29,13
2022-03-25 19:29:11.402339,436,29,12
2022-03-25 19:29:21.431518,435,29,13
2022-03-25 19:29:31.460204,435,29,13
2022-03-25 19:29:41.489485,435,29,12
2022-03-25 19:29:51.518538,435,29,12
2022-03-25 19:30:01.548388,434,29,13
2022-03-25 19:30:11.576821,435,29,13
2022-03-25 19:30:21.605718,435,29,13
2022-03-25 19:30:31.649721,435,29,13
2022-03-25 19:30:41.678851,435,29,13
2022-03-25 19:30:51.708136,436,29,12
2022-03-25 19:31:01.737230,436,29,12
2022-03-25 19:31:11.766112,436,29,12
2022-03-25 19:31:21.795006,435,29,12
2022-03-25 19:31:31.824168,436,29,12
2022-03-25 19:31:41.853282,436,29,12
2022-03-25 19:31:51.882532,435,29,12
2022-03-25 19:32:01.911639,435,29,13
2022-03-25 19:32:11.940719,435,29,13
2022-03-25 19:32:21.969629,435,29,13
2022-03-25 19:32:32.013941,434,29,13
2022-03-25 19:32:42.043345,434,29,12
2022-03-25 19:32:52.072621,433,29,12
2022-03-25 19:33:02.101849,433,29,13
2022-03-25 19:33:12.130886,433,29,12
2022-03-25 19:33:22.160145,434,29,12
2022-03-25 19:33:32.189078,435,29,12
2022-03-25 19:33:42.217920,435,29,12
2022-03-25 19:33:52.247288,435,29,12
2022-03-25 19:34:02.276247,435,29,12
2022-03-25 19:34:12.305327,435,29,13
2022-03-25 19:34:22.334436,436,29,13
2022-03-25 19:34:32.378612,436,29,13
2022-03-25 19:34:42.407827,437,29,13
2022-03-25 19:34:52.437090,436,29,13
2022-03-25 19:35:02.466407,436,29,13
2022-03-25 19:35:12.495413,435,29,13
2022-03-25 19:35:22.524298,435,29,13
2022-03-25 19:35:32.553286,434,29,13
2022-03-25 19:35:42.582615,435,29,13
2022-03-25 19:35:52.611896,436,29,13
2022-03-25 19:36:02.640897,435,29,13
2022-03-25 19:36:12.670222,435,29,13
2022-03-25 19:36:22.714008,436,29,13
2022-03-25 19:36:32.742889,436,29,13
2022-03-25 19:36:42.772287,436,29,13
2022-03-25 19:36:52.801348,436,29,13
2022-03-25 19:37:02.830499,436,29,13
2022-03-25 19:37:12.859794,436,29,13
2022-03-25 19:37:22.889289,436,29,13
2022-03-25 19:37:32.918201,436,29,13
2022-03-25 19:37:42.947233,435,29,13
2022-03-25 19:37:52.991977,435,30,13
2022-03-25 19:38:03.021260,434,30,13
2022-03-25 19:38:13.035094,434,30,13
2022-03-25 19:38:23.079662,433,30,13
2022-03-25 19:38:33.108739,434,30,13
2022-03-25 19:38:43.137912,435,30,13
2022-03-25 19:38:53.167502,435,30,13
2022-03-25 19:39:03.196725,436,30,13
2022-03-25 19:39:13.226208,436,30,12
2022-03-25 19:39:23.255137,437,30,12
2022-03-25 19:39:33.299805,437,30,12
2022-03-25 19:39:43.328965,437,30,12
2022-03-25 19:39:53.342692,437,30,13
2022-03-25 19:40:03.387051,436,30,12
2022-03-25 19:40:13.416048,437,30,12
2022-03-25 19:40:23.429982,436,29,12
2022-03-25 19:40:33.474212,436,29,12
2022-03-25 19:40:43.503452,436,29,12
2022-03-25 19:40:53.532646,436,29,13
2022-03-25 19:41:03.561572,437,29,13
2022-03-25 19:41:13.591125,437,29,13
2022-03-25 19:41:23.620458,436,29,14
2022-03-25 19:41:33.648971,436,29,14
2022-03-25 19:41:43.693295,436,29,13
2022-03-25 19:41:53.722564,436,29,13
2022-03-25 19:42:03.736413,436,29,13
2022-03-25 19:42:13.780622,435,29,13
2022-03-25 19:42:23.809726,435,29,13
2022-03-25 19:42:33.838794,435,29,13
2022-03-25 19:42:43.867914,434,29,13
2022-03-25 19:42:53.897314,433,29,13
2022-03-25 19:43:03.926251,434,29,13
2022-03-25 19:43:13.955191,433,29,13
2022-03-25 19:43:23.984488,433,29,13
2022-03-25 19:43:34.013686,433,29,13
2022-03-25 19:43:44.042976,433,29,12
2022-03-25 19:43:54.087258,433,29,12
2022-03-25 19:44:04.116469,433,29,12
2022-03-25 19:44:14.145748,434,29,12
2022-03-25 19:44:24.174634,433,29,12
2022-03-25 19:44:34.203581,433,29,12
2022-03-25 19:44:44.232778,433,29,13
2022-03-25 19:44:54.262101,433,29,13
2022-03-25 19:45:04.291803,433,29,12
2022-03-25 19:45:14.321054,434,29,12
