dateTime,countPerMinute,radiationValue,timeSpent,LIBRADCount
2022-03-25 19:09:33.996504,0.0000,0.0000,10000,0
2022-03-25 19:09:44.158190,0.0000,0.0000,10000,0
2022-03-25 19:09:54.304823,0.0000,0.0000,10000,0
2022-03-25 19:10:04.466619,0.0000,0.0000,10000,0
2022-03-25 19:10:14.612931,0.0000,0.0000,10000,0
2022-03-25 19:10:24.774581,0.0000,0.0000,10000,0
2022-03-25 19:10:34.936137,0.0000,0.0000,10000,0
2022-03-25 19:10:45.082644,0.0000,0.0000,10000,0
2022-03-25 19:10:55.244278,0.0000,0.0000,10000,0
2022-03-25 19:11:05.390796,0.0000,0.0000,10000,0
2022-03-25 19:11:15.552328,0.0000,0.0000,10000,0
2022-03-25 19:11:25.713871,0.0000,0.0000,10000,0
2022-03-25 19:11:35.860292,0.0000,0.0000,10000,0
2022-03-25 19:11:46.021813,0.0000,0.0000,10000,0
2022-03-25 19:11:56.168066,0.0000,0.0000,10000,0
2022-03-25 19:12:06.329768,0.0000,0.0000,10000,0
2022-03-25 19:12:16.476053,0.0000,0.0000,10000,0
2022-03-25 19:12:26.637722,0.0000,0.0000,10000,0
2022-03-25 19:12:36.799431,0.0000,0.0000,10000,0
2022-03-25 19:12:46.945731,0.0000,0.0000,10000,0
2022-03-25 19:12:57.107495,0.0000,0.0000,10000,0
2022-03-25 19:13:07.254192,0.0000,0.0000,10000,0
2022-03-25 19:13:17.415548,0.0000,0.0000,10000,0
2022-03-25 19:13:27.577260,0.0000,0.0000,10000,0
2022-03-25 19:13:37.723524,0.0000,0.0000,10000,0
2022-03-25 19:13:47.885268,0.0000,0.0000,10000,0
2022-03-25 19:13:58.031571,0.0000,0.0000,10000,0
2022-03-25 19:14:08.193322,0.0000,0.0000,10000,0
2022-03-25 19:14:18.355055,0.0000,0.0000,10000,0
2022-03-25 19:14:28.501317,0.0000,0.0000,10000,0
2022-03-25 19:14:38.663097,0.0000,0.0000,10000,0
2022-03-25 19:14:48.809533,0.0000,0.0000,10000,0
2022-03-25 19:14:58.971131,0.0000,0.0000,10000,0
2022-03-25 19:15:09.132902,0.0000,0.0000,10000,0
2022-03-25 19:15:19.279113,0.0000,0.0000,10000,0
2022-03-25 19:15:29.440877,0.0000,0.0000,10000,0
2022-03-25 19:15:39.587109,0.0000,0.0000,10000,0
2022-03-25 19:15:49.748788,0.0000,0.0000,10000,0
2022-03-25 19:15:59.895415,0.0000,0.0000,10000,0
2022-03-25 19:16:10.056786,0.0000,0.0000,10000,0
2022-03-25 19:16:20.218506,0.0000,0.0000,10000,0
2022-03-25 19:16:30.364821,0.0000,0.0000,10000,0
2022-03-25 19:16:40.526584,0.0000,0.0000,10000,0
2022-03-25 19:16:50.672929,0.0000,0.0000,10000,0
2022-03-25 19:17:00.834734,0.0000,0.0000,10000,0
2022-03-25 19:17:10.996390,0.0000,0.0000,10000,0
2022-03-25 19:17:21.143020,0.0000,0.0000,10000,0
2022-03-25 19:17:31.304474,0.0000,0.0000,10000,0
2022-03-25 19:17:41.451106,0.0000,0.0000,10000,0
2022-03-25 19:17:51.612613,0.0000,0.0000,10000,0
2022-03-25 19:18:01.774199,0.0000,0.0000,10000,0
2022-03-25 19:18:11.920774,0.0000,0.0000,10000,0
2022-03-25 19:18:22.082404,0.0000,0.0000,10000,0
2022-03-25 19:18:32.244002,0.0000,0.0000,10000,0
2022-03-25 19:18:42.390467,0.0000,0.0000,10000,0
2022-03-25 19:18:52.551933,0.0000,0.0000,10000,0
2022-03-25 19:19:02.698115,0.0000,0.0000,10000,0
2022-03-25 19:19:12.859811,0.0000,0.0000,10000,0
2022-03-25 19:19:23.006180,0.0000,0.0000,10000,0
2022-03-25 19:19:33.167816,0.0000,0.0000,10000,0
2022-03-25 19:19:43.314183,0.0000,0.0000,10000,0
2022-03-25 19:19:53.475847,0.0000,0.0000,10000,0
2022-03-25 19:20:03.637625,0.0000,0.0000,10000,0
2022-03-25 19:20:13.783832,0.0000,0.0000,10000,0
2022-03-25 19:20:23.945547,0.0000,0.0000,10000,0
2022-03-25 19:20:34.091946,0.0000,0.0000,10000,0
2022-03-25 19:20:44.253610,0.0000,0.0000,10000,0
2022-03-25 19:20:54.415373,0.0000,0.0000,10000,0
2022-03-25 19:21:04.561669,0.0000,0.0000,10000,0
2022-03-25 19:21:14.723392,0.0000,0.0000,10000,0
2022-03-25 19:21:24.885090,0.0000,0.0000,10000,0
2022-03-25 19:21:35.031444,0.0000,0.0000,10000,0
2022-03-25 19:21:45.193116,0.0000,0.0000,10000,0
2022-03-25 19:21:55.339430,0.0000,0.0000,10000,0
2022-03-25 19:22:05.501118,0.0000,0.0000,10000,0
