dateTime,powerMode
2022-03-25 19:13:49.770307,6
2022-03-25 19:26:04.146606,6
2022-03-25 19:26:34.143009,6
2022-03-25 19:35:40.521602,3
2022-03-25 19:46:32.635501,6
2022-03-25 19:57:02.817190,6
2022-03-25 20:10:52.951266,6
2022-03-25 20:18:57.042499,6
2022-03-25 20:29:06.203626,6
2022-03-25 20:43:27.382701,6
