dateTime,Latitude,Longitude,Speed,Altitude,Course,HDOP,Year,Month,Day,Hour,Minute,Second
2022-03-25 19:13:55.428434,32.99243,-96.757776667,0.29632000000000003,214.5,337.83,1.21,2022,3,25,19,13,52
2022-03-25 19:25:15.910734,32.992225,-96.75801,0.51856,214.1,213.5,1.28,2022,3,25,19,25,13
2022-03-25 19:58:53.297074,32.992381667,-96.757898333,0.33336,249.1,184.43,0.8,2022,3,25,19,58,50
2022-03-25 20:18:23.254028,32.992435,-96.757835,0.20372,243.2,53.9,0.99,2022,3,25,20,18,20
2022-03-25 20:29:48.731982,32.992478333,-96.757851667,0.42596000000000006,240.6,308.93,0.85,2022,3,25,20,29,45
2022-03-25 20:40:07.234274,32.992488333,-96.757751667,0.35188,225.7,190.22,0.86,2022,3,25,20,40,4
