dateTime,shuntVoltageBattery,busVoltageBattery,currentBattery,powerBattery,shuntVoltageSolar,busVoltageSolar,currentSolar,powerSolar
2022-03-25 19:17:40.161742,-20.450000762939453,3.7079999446868896,-204.0,756.0,31.68000030517578,5.783999919891357,316.8999938964844,1832.0
2022-03-25 19:26:19.503615,-19.170000076293945,3.7079999446868896,-196.8000030517578,730.0,31.68000030517578,5.78000020980835,316.8999938964844,1832.0
2022-03-25 19:34:53.838634,-18.799999237060547,3.7119998931884766,-203.39999389648438,692.0,32.08000183105469,5.708000183105469,320.8999938964844,1832.0
2022-03-25 19:44:33.163946,-20.93000030517578,3.7160000801086426,-195.5,770.0,32.09000015258789,5.711999893188477,321.20001220703125,1832.0
2022-03-25 19:52:51.465260,-18.719999313354492,3.7239999771118164,-186.8000030517578,694.0,32.209999084472656,5.684000015258789,322.29998779296875,1832.0
2022-03-25 20:01:00.766950,-19.5,3.7160000801086426,-193.6999969482422,728.0,32.400001525878906,5.6479997634887695,324.0,1828.0
2022-03-25 20:09:21.063808,-19.059999465942383,3.7200000286102295,-185.8000030517578,692.0,31.75,5.78000020980835,317.5,1836.0
2022-03-25 20:18:20.379053,-19.739999771118164,3.7279999256134033,-196.6999969482422,734.0,31.479999542236328,5.835999965667725,314.8999938964844,1838.0
2022-03-25 20:27:32.733344,-18.780000686645508,3.7360000610351562,-208.10000610351562,718.0,31.540000915527344,5.835999965667725,314.70001220703125,1838.0
2022-03-25 20:35:25.098730,-19.809999465942383,3.7360000610351562,-196.5,734.0,32.16999816894531,5.703999996185303,322.0,1838.0
2022-03-25 20:43:45.486877,-19.079999923706055,3.740000009536743,-203.89999389648438,704.0,32.119998931884766,5.716000080108643,320.8999938964844,1836.0
