sensorID
APDS9002
APDS9002
AS3935
AS6272
AS7265X
BME280
BME280CC
BME280CNR
BME280V2
BME680
BME680CC
BME680CNR
GL001
GPGGA
GPGGALR
GPGGAPL
GPRMC
GPRMCPL
GPSGPGGA2
GPSGPRMC2
GPSSTATUS001
GPVTG
GUV001
HM3301
IP
IPS7100
IPS7100CNR
LIBRAD
MGS001
MINTSSCS001
MINTSSCS002
MINTSSCS003
MINTSSCS004
MINTSSCS005
MWBL001
MWBR001
OPCN3
PM
PMPoLo
QLMRAD001
RG15
RG15
SCD30
SCD30V2
SEN02323
SKYCAM003
SKYCAM_002
STATUS001
TB108L
TMG3993
TSL2591
VEML6075
WIMDA
WIMWV
YXXDR
