portID,sensorID
1,LoRaDefault
2,PM
102,PMSalor
3,INA219Duo
103,MLRPS001
4,PMPoLo
5,GPGGALR
105,PA1010D
6,GPGGA
7,GPRMC
106,GPGGAPL
107,GPRMCPL
8,MacAD
11,OPCN2
13,OPCN3
15,IPS7100
17,IPS7100CNR
21,BME280
22,BME280V2
23,BME680
25,BME688CNR
31,MGS001
33,SCD30
42,MBCLR001
43,MBCLR002
51,AS7265X
52,AS7265X1
53,AS7265X2
61,RG15
255,UnknownSensor
