dateTime,luminosity,ir,full,visible,lux
2022-03-25 19:31:12.527753,4294967295,65535,65535,0,-1.000000
2022-03-25 19:31:45.018251,4294967295,65535,65535,0,-1.000000
2022-03-25 19:31:55.030004,4294967295,65535,65535,0,-1.000000
2022-03-25 19:32:05.057029,4294967295,65535,65535,0,-1.000000
2022-03-25 19:32:15.068651,4294967295,65535,65535,0,-1.000000
2022-03-25 19:32:25.095845,4294967295,65535,65535,0,-1.000000
2022-03-25 19:32:35.108031,4294967295,65535,65535,0,-1.000000
2022-03-25 19:32:45.135040,4294967295,65535,65535,0,-1.000000
2022-03-25 19:32:55.147036,4294967295,65535,65535,0,-1.000000
2022-03-25 19:33:05.159040,4294967295,65535,65535,0,-1.000000
2022-03-25 19:33:15.186638,4294967295,65535,65535,0,-1.000000
2022-03-25 19:33:25.198221,4294967295,65535,65535,0,-1.000000
2022-03-25 19:33:35.225549,4294967295,65535,65535,0,-1.000000
2022-03-25 19:33:45.237559,4294967295,65535,65535,0,-1.000000
2022-03-25 19:33:55.264362,4294967295,65535,65535,0,-1.000000
2022-03-25 19:34:05.291744,4294967295,65535,65535,0,-1.000000
2022-03-25 19:34:15.303732,4294967295,65535,65535,0,-1.000000
2022-03-25 19:34:25.330468,4294967295,65535,65535,0,-1.000000
2022-03-25 19:34:35.342395,4294967295,65535,65535,0,-1.000000
2022-03-25 19:34:45.354517,4294967295,65535,65535,0,-1.000000
2022-03-25 19:34:55.381770,4294967295,65535,65535,0,-1.000000
2022-03-25 19:35:05.393739,4294967295,65535,65535,0,-1.000000
2022-03-25 19:35:15.421482,4294967295,65535,65535,0,-1.000000
2022-03-25 19:35:25.432808,4294967295,65535,65535,0,-1.000000
2022-03-25 19:35:35.460286,4294967295,65535,65535,0,-1.000000
2022-03-25 19:35:45.472240,4294967295,65535,65535,0,-1.000000
2022-03-25 19:35:55.498835,4294967295,65535,65535,0,-1.000000
2022-03-25 19:36:05.513004,4294967295,65535,65535,0,-1.000000
2022-03-25 19:36:15.537742,4294967295,65535,65535,0,-1.000000
2022-03-25 19:36:25.549630,4294967295,65535,65535,0,-1.000000
2022-03-25 19:36:35.576590,4294967295,65535,65535,0,-1.000000
2022-03-25 19:36:45.588242,4294967295,65535,65535,0,-1.000000
2022-03-25 19:36:55.615792,4294967295,65535,65535,0,-1.000000
2022-03-25 19:37:05.627833,4294967295,65535,65535,0,-1.000000
