dateTime,c02,temperature,humidity
2022-03-25 19:09:33.072683,447,26,13
2022-03-25 19:09:43.097970,447,26,13
2022-03-25 19:09:53.138598,446,26,13
2022-03-25 19:10:03.163799,446,26,13
2022-03-25 19:10:13.204439,445,26,13
2022-03-25 19:10:23.229612,447,26,13
2022-03-25 19:10:33.270162,447,26,13
2022-03-25 19:10:43.295295,447,26,13
2022-03-25 19:10:53.336002,446,26,13
2022-03-25 19:11:03.361502,445,26,13
2022-03-25 19:11:13.401849,445,26,13
2022-03-25 19:11:23.442375,444,26,14
2022-03-25 19:11:33.467721,444,26,13
2022-03-25 19:11:43.508128,443,26,13
2022-03-25 19:11:53.533649,442,26,13
2022-03-25 19:12:03.573933,441,26,13
2022-03-25 19:12:13.599205,442,26,13
2022-03-25 19:12:23.639884,441,26,13
2022-03-25 19:12:33.680424,441,26,13
2022-03-25 19:12:43.705648,440,26,13
2022-03-25 19:12:53.746322,441,26,13
2022-03-25 19:13:03.771277,441,26,13
2022-03-25 19:13:13.812018,442,26,13
2022-03-25 19:13:23.837178,442,26,13
2022-03-25 19:13:33.877768,442,26,13
2022-03-25 19:13:43.918444,442,26,13
2022-03-25 19:13:53.943574,442,26,13
2022-03-25 19:14:03.984296,443,26,13
2022-03-25 19:14:14.009807,443,26,13
2022-03-25 19:14:24.050073,443,26,13
2022-03-25 19:14:34.090661,443,26,13
2022-03-25 19:14:44.115948,443,26,13
2022-03-25 19:14:54.141139,442,26,13
2022-03-25 19:15:04.181781,443,26,13
2022-03-25 19:15:14.207107,443,26,13
2022-03-25 19:15:24.247440,442,26,13
2022-03-25 19:15:34.287805,441,26,13
2022-03-25 19:15:44.312942,442,26,13
2022-03-25 19:15:54.353540,442,26,13
2022-03-25 19:16:04.378754,442,26,13
2022-03-25 19:16:14.419381,443,26,13
2022-03-25 19:16:24.444558,442,26,13
2022-03-25 19:16:34.485077,443,26,13
2022-03-25 19:16:44.510383,443,26,13
2022-03-25 19:16:54.550960,442,26,13
2022-03-25 19:17:04.591555,442,26,13
2022-03-25 19:17:14.616955,442,26,13
2022-03-25 19:17:24.657266,442,26,13
2022-03-25 19:17:34.682702,442,26,13
2022-03-25 19:17:44.723090,442,26,13
2022-03-25 19:17:54.748244,442,26,13
2022-03-25 19:18:04.788777,442,26,13
2022-03-25 19:18:14.814041,443,26,13
2022-03-25 19:18:24.854541,443,26,13
2022-03-25 19:18:34.879751,443,26,13
2022-03-25 19:18:44.920613,443,26,13
2022-03-25 19:18:54.945666,442,26,13
2022-03-25 19:19:04.986400,442,26,13
2022-03-25 19:19:15.011463,443,26,13
2022-03-25 19:19:25.052526,442,26,13
2022-03-25 19:19:35.092857,442,26,13
2022-03-25 19:19:45.118011,440,26,13
2022-03-25 19:19:55.158667,440,26,13
2022-03-25 19:20:05.184045,440,26,13
2022-03-25 19:20:15.224347,440,26,13
2022-03-25 19:20:25.249691,440,26,13
2022-03-25 19:20:35.289968,440,26,13
2022-03-25 19:20:45.315217,439,26,13
2022-03-25 19:20:55.355873,439,26,13
2022-03-25 19:21:05.380924,439,26,13
2022-03-25 19:21:15.421694,440,26,13
2022-03-25 19:21:25.462403,441,26,13
2022-03-25 19:21:35.487690,441,26,13
2022-03-25 19:21:45.528428,441,26,13
2022-03-25 19:21:55.553737,441,26,13
2022-03-25 19:22:05.594307,442,26,13
2022-03-25 19:22:15.634709,443,26,13
2022-03-25 19:22:25.659825,443,26,13
2022-03-25 19:22:35.700501,443,26,13
2022-03-25 19:22:45.725726,443,26,13
2022-03-25 19:22:55.766461,442,26,13
2022-03-25 19:23:05.807114,441,26,13
2022-03-25 19:23:15.832268,440,26,13
2022-03-25 19:23:25.872906,440,26,13
2022-03-25 19:23:35.898074,442,26,13
2022-03-25 19:23:45.938642,441,26,13
2022-03-25 19:23:55.963966,441,26,13
2022-03-25 19:24:06.004545,444,26,13
