dateTime,nh3,co,no2,c3h8,c4h10,ch4,h2,c2h5oh  
2022-03-25 19:19:44.157028,0.05,0.00,16.31,4.29,9155.97,4204.82,81579.20,5.43
2022-03-25 19:19:54.197622,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
2022-03-25 19:20:04.222987,0.04,0.00,21.68,6.08,15480.00,6567.43,233648.78,8.38
2022-03-25 19:20:14.263397,0.04,0.00,20.23,5.79,14405.32,6178.22,180744.38,7.53
2022-03-25 19:20:24.288782,0.04,0.00,20.93,5.79,14405.32,6178.22,205113.42,7.94
2022-03-25 19:20:34.329047,0.04,0.00,20.23,5.66,13906.80,5996.20,180744.38,7.53
2022-03-25 19:20:44.354359,0.04,0.00,20.23,5.66,13906.80,5996.20,180744.38,7.53
2022-03-25 19:20:54.394934,0.04,0.00,19.89,5.93,14929.16,6368.47,169896.95,7.34
2022-03-25 19:21:04.419973,0.05,0.00,16.31,4.21,8890.24,4100.97,81579.20,5.43
2022-03-25 19:21:14.460756,0.04,0.00,18.65,5.06,11743.65,5194.37,133760.59,6.65
2022-03-25 19:21:24.501458,0.04,0.00,22.90,6.71,17992.07,7461.91,286230.75,9.11
2022-03-25 19:21:34.527038,0.05,0.00,16.55,4.29,9155.97,4204.82,85955.38,5.54
2022-03-25 19:21:44.567384,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
2022-03-25 19:21:54.592710,0.04,0.00,22.07,6.38,16670.12,6993.73,249743.66,8.61
2022-03-25 19:22:04.633307,0.04,0.00,22.48,6.54,17313.48,7222.25,267223.19,8.85
2022-03-25 19:22:14.658740,0.04,0.00,20.93,5.93,14929.16,6368.47,205113.42,7.94
2022-03-25 19:22:24.698868,0.04,0.00,20.23,5.66,13906.80,5996.20,180744.38,7.53
2022-03-25 19:22:34.739592,0.04,0.00,17.80,4.85,11009.32,4917.25,112721.79,6.20
2022-03-25 19:22:44.764808,0.04,0.00,20.57,5.79,14405.32,6178.22,192455.52,7.73
2022-03-25 19:22:54.805379,0.04,0.00,18.08,4.85,11009.32,4917.25,119250.13,6.35
2022-03-25 19:23:04.830844,0.04,0.00,20.23,5.93,14929.16,6368.47,180744.38,7.53
2022-03-25 19:23:14.871377,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
2022-03-25 19:23:24.912040,0.04,0.00,20.23,5.66,13906.80,5996.20,180744.38,7.53
2022-03-25 19:23:34.937124,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
2022-03-25 19:23:44.977736,0.04,0.00,19.89,5.79,14405.32,6178.22,169896.95,7.34
2022-03-25 19:23:55.003015,0.04,0.00,20.23,5.66,13906.80,5996.20,180744.38,7.53
2022-03-25 19:24:05.043535,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
2022-03-25 19:24:15.068747,0.05,0.00,16.31,4.29,9155.97,4204.82,81579.20,5.43
2022-03-25 19:24:25.109308,0.04,0.00,21.30,6.71,17992.07,7461.91,218810.33,8.15
2022-03-25 19:24:35.134970,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
2022-03-25 19:24:45.175126,0.05,0.00,16.31,4.21,8890.24,4100.97,81579.20,5.43
2022-03-25 19:24:55.200417,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
2022-03-25 19:25:05.241420,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
2022-03-25 19:25:15.266314,0.04,0.00,20.23,5.53,13432.07,5821.94,180744.38,7.53
2022-03-25 19:25:25.307045,0.04,0.00,20.57,5.93,14929.16,6368.47,192455.52,7.73
