dateTime,cloudPecentage,allRed,allGreen,allBlue,skyRed,skyGreen,skyBlue,cloudRed,cloudGreen,cloudBlue
2022-03-25 19:12:03.542871,99.95703125,154.391572265625,146.05675130208334,159.57170247395834,86.91666666666667,92.96969696969697,138.08333333333334,154.42057785246266,146.07957195148958,159.58093972670548
2022-03-25 19:16:05.140590,99.95670572916666,154.34390625,146.59248372395834,160.18751302083334,84.42105263157895,90.19548872180451,136.6315789473684,154.37419195159362,146.61691096731332,160.19771580795071
2022-03-25 19:18:05.575713,99.9228515625,155.92817057291666,146.391103515625,161.88661458333334,85.54008438818565,87.915611814346,135.54852320675104,155.98251580809415,146.43625127458358,161.90694969752056
2022-03-25 19:20:05.541889,99.93001302083333,155.85322916666667,147.05378255208333,161.748671875,84.69767441860465,89.24651162790698,135.83255813953488,155.90306366760592,147.0942684495985,161.7668224831832
2022-03-25 19:22:03.492704,99.95052083333333,156.55169596354168,147.65768880208333,162.68197916666668,84.0592105263158,87.51973684210526,134.84868421052633,156.58758239754044,147.68745928975275,162.69575766655376
2022-03-25 19:24:03.206529,99.96419270833333,156.85626953125,148.06487630208332,161.57821940104168,83.87272727272727,86.0909090909091,135.45454545454547,156.88241232212056,148.08707545019377,161.5875769318441
2022-03-25 19:28:05.814352,99.95963541666667,158.09534830729166,149.38708333333332,163.7471484375,81.59677419354838,86.35483870967742,133.21774193548387,158.1262391069312,149.4125363102294,163.75947648139223
2022-03-25 19:30:06.172148,99.96419270833333,159.05311848958334,150.19163411458334,164.24177408854166,81.97272727272727,87.95454545454545,133.83636363636364,159.08072877658014,150.2139275131069,164.25266534240777
2022-03-25 19:34:06.060303,99.92708333333333,152.40693033854166,144.55206705729168,157.93987955729168,79.04464285714286,84.76785714285714,129.49107142857142,152.46046270718233,144.59569151985824,157.96063861669967
2022-03-25 19:36:05.828569,99.94075520833333,153.99933268229168,145.03714518229165,159.26623372395832,78.98901098901099,83.97252747252747,129.84615384615384,154.0437987349276,145.07334423388858,159.28367392139876
2022-03-25 19:38:04.170854,99.9482421875,153.87395182291667,145.29190755208333,158.55293294270834,75.83018867924528,83.33333333333333,126.69811320754717,153.91436648525766,145.32399256125404,158.56942883849388
2022-03-25 19:40:05.903016,99.92610677083333,152.89364583333332,145.14048502604166,158.10481770833334,76.28193832599119,84.03083700440529,126.24229074889868,152.95029856045971,145.1856743101185,158.1283793688696
2022-03-25 19:42:05.623790,99.96614583333333,153.157353515625,145.24509440104165,157.7886328125,75.39423076923077,83.84615384615384,125.39423076923077,153.1836884882903,145.26588754005263,157.79960338135305
2022-03-25 19:46:03.967281,99.93033854166666,153.54886393229165,144.825693359375,157.90404947916667,76.2803738317757,82.85046728971963,127.14485981308411,153.60272781169175,144.86889630146,157.9254917162346
2022-03-25 19:50:04.741364,99.92578125,153.87849609375,145.52705403645834,157.96517252604167,76.25,84.15789473684211,126.15789473684211,153.93615378601305,145.57263528921206,157.9887970238328
2022-03-25 20:02:05.873329,99.91796875,155.72756184895835,146.95485677083335,160.13647786458333,76.23412698412699,82.77777777777777,125.91269841269842,155.79282484329593,147.0075452519645,160.16457510718428
2022-03-25 20:04:05.415110,99.9091796875,155.58206380208333,146.818310546875,160.57263997395833,76.00716845878136,82.10752688172043,125.23297491039426,155.65439966636364,146.87713450692524,160.60476474402208
2022-03-25 20:06:05.612932,99.91373697916667,155.759306640625,147.200546875,160.40528971354166,75.86792452830188,81.80754716981131,125.89056603773585,155.82828286119212,147.25700555492205,160.43508886246275
2022-03-25 20:08:05.599104,99.91145833333334,156.07860677083335,147.568466796875,160.88406575520833,75.34191176470588,82.2904411764706,125.06617647058823,156.15015573685034,147.6263162696137,160.91580761611843
2022-03-25 20:10:05.814008,99.91829427083333,158.02874348958332,149.872373046875,163.44098958333333,77.99203187250995,83.86055776892431,127.65338645418326,158.09419154322055,149.92635258626026,163.47025401613948
2022-03-25 20:12:05.196524,99.92740885416667,158.98386393229165,149.59780924479168,163.96714192708333,77.4439461883408,80.47533632286995,126.64125560538116,159.04309769135799,149.6480224902843,163.99425689872533
2022-03-25 20:14:03.482533,99.95052083333333,157.85040364583332,150.44326822916668,163.49250651041666,73.63157894736842,83.25657894736842,122.84210526315789,157.89209504702848,150.47652809984106,163.51262994710925
2022-03-25 20:16:05.430978,99.95279947916667,157.884521484375,150.49053059895834,163.60984700520834,74.1655172413793,81.73103448275862,122.65517241379311,157.9240559508883,150.5230007653352,163.6291869534774
2022-03-25 20:18:03.747566,99.9375,158.27963541666668,150.07678385416668,162.432548828125,74.22916666666667,83.08854166666667,124.25520833333333,158.33219981238273,150.11867768918074,162.45642458828434
2022-03-25 20:22:05.638649,99.93424479166667,158.03956380208334,151.21689127604168,162.08229166666666,72.97524752475248,84.85148514851485,122.53960396039604,158.0955348243311,151.26055870070815,162.10831015185767
2022-03-25 20:24:03.686829,99.91080729166667,147.33775716145834,140.49757161458334,152.910009765625,67.43065693430657,76.87956204379562,114.82481751824818,147.40909209385975,140.55436489577292,152.94400930517455
2022-03-25 20:28:06.083335,99.94694010416667,158.39538411458332,150.56555989583333,163.824091796875,75.76687116564418,80.9079754601227,123.76073619631902,158.4392499926719,150.60253975905184,163.84536065685896
2022-03-25 20:36:05.188708,99.8955078125,157.21041015625,148.81638346354165,162.65078450520832,74.75077881619937,82.07476635514018,124.23364485981308,157.2966641575344,148.88619618807414,162.69096940487944
2022-03-25 20:38:05.467150,99.90234375,157.27668294270833,148.422177734375,161.63020833333334,75.84666666666666,80.84666666666666,124.16,157.35628217660476,148.4882339524275,161.66683610296514
