dateTime,nodeID,sensorID,gatewayID,rssi,loRaSNR,channel,rfChain,frequency,bandwidth,spreadingFactor,codeRate,dataRate,frameCounters,framePort,base64Data,base16Data,devAddr,deviceAddDecoded
2022-03-25 19:46:00.275398,475a5fe30033001a,INA219Duo,a84041ffff206240,-60,13.8,3,0,914100000,125,7,4/5,3,6,3,MzOJwTm0aEDNTBrDAAAbRJqZAkJ9P7VAAECjQwAA50Q=,333389c139b46840cd4c1ac300001b449a9902427d3fb5400040a3430000e744,AbcocA==,01b72870
2022-03-25 19:46:22.646243,479b5580001a0031,INA219Duo,a84041ffff206240,-47,13.2,0,0,913500000,125,7,4/5,3,5,3,rkeHwUSLbECamSbDAIAURIXrAULVeLlAMzOiQwAA60Q=,ae4787c1448b6c409a9926c30080144485eb0142d578b9403333a2430000eb44,AfFO4Q==,01f14ee1
2022-03-25 19:46:28.139301,471a55800038004e,PM,a84041ffff206240,-61,14.2,6,1,914700000,125,8,4/5,2,1,2,BgA=,0600,AG9+Rw==,006f7e47
2022-03-25 19:46:32.635501,475a5fe3003b001b,PM,a84041ffff206240,-48,16,4,1,914300000,125,8,4/5,2,3,2,BgM=,0603,AA/y2w==,000ff2db
2022-03-25 19:46:35.960711,47db558000390039,PM,a84041ffff206240,-103,-9,4,1,914300000,125,8,4/5,2,6,2,BQA=,0500,AdVe4w==,01d55ee3
2022-03-25 19:47:08.397708,479b558000320033,IPS7100,a84041ffff206240,-56,10.8,2,0,913900000,125,7,4/5,3,4,15,H/YAAPloAAC6BgAAGwEAABcAAAAAAAAAAAAAANajVz06ryg/1rxWP3i3iT+5nrA/uZ6wP7mesD8=,1ff60000f9680000ba0600001b010000170000000000000000000000d6a3573d3aaf283fd6bc563f78b7893fb99eb03fb99eb03fb99eb03f,ATTXMg==,0134d732
2022-03-25 19:47:21.380514,471a55800038004e,GPGGALR,a84041ffff206240,-60,13.8,5,1,914500000,125,7,4/5,3,5,5,cQCnvgZ/QEC5NRQ3gTBYwAAAAAAAAAAAAAAAAADAa0Bcj8L1KDxqQOF6FK5H4eo/5gcDGRMvEg==,7100a7be067f4040b9351437813058c000000000000000000000000000c06b405c8fc2f5283c6a40e17a14ae47e1ea3fe6070319132f12,AG9+Rw==,006f7e47
2022-03-25 19:47:36.007702,47bb5580001f0020,BME280,a84041ffff206240,-48,11.5,2,0,913900000,125,7,4/5,3,8,21,XI/6QQq3eEQAAABB,5c8ffa410ab7784400000041,AZ9Dvg==,019f43be
2022-03-25 19:47:43.355744,475a5fe30033001a,IPS7100,a84041ffff206240,-100,1.5,1,0,913700000,125,7,4/5,3,8,15,7j0AAAQgAADbAwAArwAAAE8AAAAKAAAAAAAAAIgKWTzf6Eo+GUGaPsxe5T5Jhb0/7m0nQO5tJ0A=,ee3d000004200000db030000af0000004f0000000a00000000000000880a593cdfe84a3e19419a3ecc5ee53e4985bd3fee6d2740ee6d2740,AbcocA==,01b72870
2022-03-25 19:47:43.485299,475a5fe30035001a,IPS7100,a84041ffff206240,-52,14,5,1,914500000,125,7,4/5,3,4,15,8Z4AAJ1DAAAQCgAA9gAAABUAAAACAAAAAAAAAA5CCz2IWdk+Bo8xP+FKZj9MRpc/Dam6Pw2puj8=,f19e00009d430000100a0000f60000001500000002000000000000000e420b3d8859d93e068f313fe14a663f4c46973f0da9ba3f0da9ba3f,AA6poA==,000ea9a0
