dateTime,shuntVoltageBattery,busVoltageBattery,currentBattery,powerBattery,shuntVoltageSolar,busVoltageSolar,currentSolar,powerSolar
2022-03-25 19:14:24.511974,-15.630000114440918,3.5920000076293945,-158.0,566.0,30.059999465942383,6.019999980926514,301.0,1812.0
2022-03-25 19:18:57.762238,-16.010000228881836,3.5959999561309814,-161.5,580.0,30.690000534057617,5.915999889373779,306.70001220703125,1816.0
2022-03-25 19:26:00.202412,-17.389999389648438,3.5999999046325684,-171.8000030517578,620.0,30.559999465942383,5.943999767303467,305.5,1816.0
2022-03-25 19:36:50.652713,-16.549999237060547,3.6040000915527344,-153.39999389648438,586.0,30.469999313354492,5.955999851226807,305.20001220703125,1818.0
2022-03-25 19:44:36.929485,-17.34000015258789,3.6080000400543213,-157.60000610351562,570.0,30.690000534057617,5.920000076293945,307.1000061035156,1818.0
2022-03-25 19:51:06.229376,-15.739999771118164,3.611999988555908,-172.10000610351562,620.0,30.809999465942383,5.9039998054504395,307.8999938964844,1816.0
2022-03-25 19:57:16.667795,-17.059999465942383,3.6080000400543213,-161.3000030517578,584.0,31.1299991607666,5.840000152587891,311.70001220703125,1822.0
2022-03-25 20:05:46.152310,-14.819999694824219,3.611999988555908,-163.5,590.0,30.40999984741211,5.980000019073486,304.1000061035156,1818.0
2022-03-25 20:13:38.617625,-15.180000305175781,3.615999937057495,-160.0,548.0,30.479999542236328,5.9720001220703125,305.0,1822.0
2022-03-25 20:20:24.075479,-16.200000762939453,3.615999937057495,-156.0,590.0,30.6200008392334,5.947999954223633,306.20001220703125,1822.0
2022-03-25 20:28:59.535551,-16.239999771118164,3.624000072479248,-155.39999389648438,580.0,30.299999237060547,6.015999794006348,302.8999938964844,1822.0
2022-03-25 20:37:43.954806,-15.380000114440918,3.619999885559082,-154.8000030517578,560.0,31.100000381469727,5.868000030517578,310.70001220703125,1826.0
2022-03-25 20:43:31.344538,-17.059999465942383,3.619999885559082,-155.60000610351562,564.0,31.200000762939453,5.840000152587891,312.5,1826.0
