dateTime,infraRed,red,green,blue,proximity
2022-03-25 19:30:14.812476,43548.00,12434.00,14142.00,20080.00,33
2022-03-25 19:30:31.812268,43562.00,12438.00,14147.00,20085.00,32
2022-03-25 19:30:48.812073,43572.00,12444.00,14153.00,20089.00,32
2022-03-25 19:31:05.811847,43579.00,12446.00,14155.00,20093.00,33
2022-03-25 19:31:22.797053,43577.00,12448.00,14157.00,20093.00,32
2022-03-25 19:31:39.797090,43581.00,12449.00,14158.00,20092.00,32
2022-03-25 19:31:56.796596,43579.00,12448.00,14158.00,20093.00,32
2022-03-25 19:32:13.797049,43568.00,12445.00,14157.00,20089.00,32
2022-03-25 19:32:30.797676,43563.00,12442.00,14155.00,20085.00,32
2022-03-25 19:32:47.796977,43566.00,12443.00,14159.00,20086.00,33
2022-03-25 19:33:04.797047,43560.00,12442.00,14158.00,20085.00,33
2022-03-25 19:33:21.797043,43551.00,12438.00,14157.00,20084.00,32
2022-03-25 19:33:38.797022,43541.00,12436.00,14156.00,20080.00,32
2022-03-25 19:33:55.781944,43533.00,12434.00,14155.00,20078.00,32
2022-03-25 19:34:12.781360,43533.00,12432.00,14156.00,20074.00,32
2022-03-25 19:34:29.781161,43526.00,12430.00,14155.00,20073.00,33
2022-03-25 19:34:46.780946,43522.00,12429.00,14155.00,20073.00,32
2022-03-25 19:35:03.780987,43521.00,12428.00,14157.00,20073.00,32
2022-03-25 19:35:20.780852,43517.00,12426.00,14157.00,20073.00,32
2022-03-25 19:35:37.780855,43510.00,12424.00,14157.00,20070.00,32
2022-03-25 19:35:54.781201,43505.00,12420.00,14154.00,20066.00,33
2022-03-25 19:36:11.781716,43497.00,12417.00,14153.00,20066.00,32
2022-03-25 19:36:28.781475,43482.00,12413.00,14149.00,20063.00,32
2022-03-25 19:36:45.781484,43469.00,12407.00,14147.00,20055.00,33
2022-03-25 19:37:02.781310,43459.00,12403.00,14145.00,20053.00,32
2022-03-25 19:37:19.782049,43446.00,12398.00,14143.00,20049.00,33
2022-03-25 19:37:36.766612,43430.00,12392.00,14139.00,20039.00,32
2022-03-25 19:37:53.766566,43424.00,12390.00,14139.00,20040.00,32
2022-03-25 19:38:10.766465,43413.00,12386.00,14137.00,20037.00,32
2022-03-25 19:38:27.766897,43405.00,12384.00,14136.00,20033.00,32
2022-03-25 19:38:44.766534,43395.00,12380.00,14133.00,20028.00,32
2022-03-25 19:39:01.766644,43394.00,12380.00,14134.00,20027.00,33
2022-03-25 19:39:18.766606,43392.00,12380.00,14135.00,20023.00,33
2022-03-25 19:39:35.766578,43391.00,12382.00,14136.00,20021.00,33
