dateTime,infraRed,red,green,blue,proximity
2022-03-25 19:29:06.854400,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:29:22.875194,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:29:38.881075,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:29:54.901598,65535.00,65535.00,65535.00,65535.00,30
2022-03-25 19:30:10.922282,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:30:26.927973,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:30:42.948513,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:30:58.969404,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:31:14.975099,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:31:30.995801,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:31:47.016353,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:32:03.022174,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:32:19.042904,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:32:35.063644,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:32:51.069297,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:33:07.090194,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:33:23.110756,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:33:39.131854,65535.00,65535.00,65535.00,65535.00,30
2022-03-25 19:33:55.152491,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:34:11.158633,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:34:27.179225,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:34:43.199984,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:34:59.220714,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:35:15.226602,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:35:31.247097,65535.00,65535.00,65535.00,65535.00,30
2022-03-25 19:35:47.267855,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:36:03.288866,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:36:19.294570,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:36:35.315411,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:36:51.336097,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:37:07.356656,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:37:23.362762,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:37:39.383094,65535.00,65535.00,65535.00,65535.00,27
2022-03-25 19:37:55.404102,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:38:11.424752,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:38:27.430522,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:38:43.450996,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:38:59.471473,65535.00,65535.00,65535.00,65535.00,30
2022-03-25 19:39:15.477201,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:39:31.498095,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:39:47.518913,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:40:03.539406,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:40:19.559965,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:40:35.565846,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:40:51.586369,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:41:07.607074,65535.00,65535.00,65535.00,65535.00,30
2022-03-25 19:41:23.612467,65535.00,65535.00,65535.00,65535.00,30
2022-03-25 19:41:39.633045,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:41:55.654226,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:42:11.675033,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:42:27.680385,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:42:43.700931,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:42:59.721653,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:43:15.742406,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:43:31.763068,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:43:47.768753,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:44:03.789205,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:44:19.794785,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:44:35.815397,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:44:51.836114,65535.00,65535.00,65535.00,65535.00,28
2022-03-25 19:45:07.857328,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:45:23.877879,65535.00,65535.00,65535.00,65535.00,29
2022-03-25 19:45:39.898483,65535.00,65535.00,65535.00,65535.00,28
