dateTime,uvLevel
2022-03-25 19:09:26.771918,22
2022-03-25 19:09:42.792750,22
2022-03-25 19:09:58.813725,21
2022-03-25 19:10:14.819590,21
2022-03-25 19:10:30.840075,21
2022-03-25 19:10:46.860934,21
2022-03-25 19:11:02.881589,22
2022-03-25 19:11:18.887485,20
2022-03-25 19:11:34.908090,21
2022-03-25 19:11:50.928828,23
2022-03-25 19:12:06.934644,24
2022-03-25 19:12:22.955175,23
2022-03-25 19:12:38.976114,24
2022-03-25 19:12:54.981849,22
2022-03-25 19:13:11.002421,19
2022-03-25 19:13:27.008053,23
2022-03-25 19:13:43.028673,23
2022-03-25 19:13:59.049139,19
2022-03-25 19:14:15.054825,24
2022-03-25 19:14:31.075603,21
2022-03-25 19:14:47.096190,19
2022-03-25 19:15:03.102316,23
2022-03-25 19:15:19.122787,23
2022-03-25 19:15:35.143487,23
2022-03-25 19:15:51.164106,21
2022-03-25 19:16:07.170035,19
2022-03-25 19:16:23.190642,19
2022-03-25 19:16:39.211715,21
2022-03-25 19:16:55.232317,23
2022-03-25 19:17:11.238096,20
2022-03-25 19:17:27.259161,21
2022-03-25 19:17:43.279800,20
2022-03-25 19:17:59.300630,20
2022-03-25 19:18:15.306236,23
2022-03-25 19:18:31.326798,23
2022-03-25 19:18:47.347596,24
2022-03-25 19:19:03.353327,22
2022-03-25 19:19:19.373988,22
2022-03-25 19:19:35.394988,19
2022-03-25 19:19:51.415785,23
2022-03-25 19:20:07.421817,23
2022-03-25 19:20:23.442444,23
2022-03-25 19:20:39.463281,23
2022-03-25 19:20:55.483892,20
2022-03-25 19:21:11.489844,23
2022-03-25 19:21:27.510333,20
2022-03-25 19:21:43.531090,19
2022-03-25 19:21:59.536960,23
2022-03-25 19:22:15.557360,19
2022-03-25 19:22:31.578111,23
2022-03-25 19:22:47.583694,20
2022-03-25 19:23:03.604588,22
2022-03-25 19:23:19.625163,22
2022-03-25 19:23:35.630966,18
2022-03-25 19:23:51.651695,20
2022-03-25 19:24:07.672513,18
2022-03-25 19:24:23.693358,23
2022-03-25 19:24:39.713942,18
2022-03-25 19:24:55.719602,18
2022-03-25 19:25:11.740676,20
2022-03-25 19:25:27.761224,18
2022-03-25 19:25:43.766950,22
2022-03-25 19:25:59.787515,19
2022-03-25 19:26:15.808299,19
2022-03-25 19:26:31.814287,21
2022-03-25 19:26:47.834697,18
2022-03-25 19:27:03.855619,22
2022-03-25 19:27:19.876420,20
2022-03-25 19:27:35.882268,20
2022-03-25 19:27:51.903159,21
2022-03-25 19:28:07.923753,20
2022-03-25 19:28:23.944627,20
2022-03-25 19:28:39.965383,22
2022-03-25 19:28:55.971432,22
2022-03-25 19:29:11.991952,20
2022-03-25 19:29:28.012702,17
2022-03-25 19:29:44.018487,22
2022-03-25 19:30:00.039233,18
2022-03-25 19:30:16.059784,18
2022-03-25 19:30:32.065571,19
2022-03-25 19:30:48.086092,21
2022-03-25 19:31:04.106934,21
2022-03-25 19:31:20.112533,17
2022-03-25 19:31:36.133353,21
2022-03-25 19:31:52.153933,19
2022-03-25 19:32:08.159851,23
2022-03-25 19:32:24.180550,18
2022-03-25 19:32:40.201093,20
2022-03-25 19:32:56.206973,17
2022-03-25 19:33:12.227568,24
2022-03-25 19:33:28.248357,17
2022-03-25 19:33:44.269431,17
2022-03-25 19:34:00.275270,19
2022-03-25 19:34:16.296153,19
2022-03-25 19:34:32.316740,19
2022-03-25 19:34:48.337617,21
2022-03-25 19:35:04.358336,19
2022-03-25 19:35:20.364181,17
2022-03-25 19:35:36.384749,22
2022-03-25 19:35:52.405586,20
2022-03-25 19:36:08.426408,17
2022-03-25 19:36:24.432249,19
2022-03-25 19:36:40.453023,22
2022-03-25 19:36:56.473570,20
2022-03-25 19:37:12.494283,22
2022-03-25 19:37:28.500141,21
2022-03-25 19:37:44.520744,17
2022-03-25 19:38:00.541535,18
2022-03-25 19:38:16.562128,20
2022-03-25 19:38:32.567907,17
2022-03-25 19:38:48.588496,18
2022-03-25 19:39:04.609037,17
2022-03-25 19:39:20.614881,18
2022-03-25 19:39:36.635544,17
2022-03-25 19:39:52.656439,17
2022-03-25 19:40:08.676860,20
2022-03-25 19:40:24.697619,17
2022-03-25 19:40:40.703176,17
2022-03-25 19:40:56.723812,17
2022-03-25 19:41:12.744544,17
2022-03-25 19:41:28.750064,17
2022-03-25 19:41:44.770485,18
2022-03-25 19:42:00.791647,17
2022-03-25 19:42:16.812217,19
2022-03-25 19:42:32.817883,20
2022-03-25 19:42:48.838571,18
2022-03-25 19:43:04.859203,17
2022-03-25 19:43:20.879861,20
2022-03-25 19:43:36.900691,20
2022-03-25 19:43:52.906353,19
2022-03-25 19:44:08.926735,20
2022-03-25 19:44:24.932363,19
2022-03-25 19:44:40.952835,17
2022-03-25 19:44:56.973691,20
2022-03-25 19:45:12.994892,20
2022-03-25 19:45:29.015382,16
2022-03-25 19:45:45.035985,18
2022-03-25 19:46:01.041609,15
2022-03-25 19:46:17.062232,19
2022-03-25 19:46:33.082892,15
2022-03-25 19:46:49.103418,17
2022-03-25 19:47:05.108907,17
2022-03-25 19:47:21.129445,20
2022-03-25 19:47:37.150416,20
2022-03-25 19:47:53.171103,17
2022-03-25 19:48:09.176759,18
2022-03-25 19:48:25.197300,17
2022-03-25 19:48:41.217787,19
2022-03-25 19:48:57.223374,16
2022-03-25 19:49:13.244082,17
2022-03-25 19:49:29.264426,16
2022-03-25 19:49:45.285054,18
2022-03-25 19:50:01.290675,15
2022-03-25 19:50:17.311785,16
2022-03-25 19:50:33.332314,18
2022-03-25 19:50:49.352939,19
2022-03-25 19:51:05.373694,16
2022-03-25 19:51:21.379251,17
2022-03-25 19:51:37.399667,17
2022-03-25 19:51:53.420405,17
2022-03-25 19:52:09.426050,16
2022-03-25 19:52:25.446668,15
2022-03-25 19:52:41.467316,18
2022-03-25 19:52:57.488020,16
2022-03-25 19:53:13.493718,16
2022-03-25 19:53:29.514438,20
2022-03-25 19:53:45.534885,18
2022-03-25 19:54:01.555312,17
2022-03-25 19:54:17.576237,16
2022-03-25 19:54:33.581888,18
2022-03-25 19:54:49.602307,15
2022-03-25 19:55:05.622999,17
2022-03-25 19:55:21.628912,16
2022-03-25 19:55:37.649537,16
2022-03-25 19:55:53.670260,16
2022-03-25 19:56:09.690736,17
2022-03-25 19:56:25.696312,17
2022-03-25 19:56:41.717067,15
2022-03-25 19:56:57.737933,15
2022-03-25 19:57:13.758511,15
2022-03-25 19:57:29.764213,16
2022-03-25 19:57:45.784880,16
2022-03-25 19:58:01.805692,15
2022-03-25 19:58:17.826506,13
2022-03-25 19:58:33.847015,16
2022-03-25 19:58:49.852860,16
2022-03-25 19:59:05.873448,18
2022-03-25 19:59:21.894069,15
2022-03-25 19:59:37.914756,14
2022-03-25 19:59:53.920455,13
2022-03-25 20:00:09.941196,18
2022-03-25 20:00:25.961894,16
2022-03-25 20:00:41.982577,18
2022-03-25 20:00:57.988276,15
2022-03-25 20:01:14.008972,15
2022-03-25 20:01:30.029572,16
2022-03-25 20:01:46.050293,16
2022-03-25 20:02:02.071105,15
2022-03-25 20:02:18.076852,18
2022-03-25 20:02:34.097401,16
2022-03-25 20:02:50.118462,16
2022-03-25 20:03:06.139068,15
2022-03-25 20:03:22.144720,15
2022-03-25 20:03:38.165879,18
2022-03-25 20:03:54.186426,13
2022-03-25 20:04:10.207404,13
2022-03-25 20:04:26.227883,14
2022-03-25 20:04:42.248440,17
2022-03-25 20:04:58.253934,14
2022-03-25 20:05:14.274271,15
2022-03-25 20:05:30.279953,16
2022-03-25 20:05:46.300735,16
2022-03-25 20:06:02.321192,14
2022-03-25 20:06:18.342436,15
2022-03-25 20:06:34.362882,15
2022-03-25 20:06:50.368468,16
2022-03-25 20:07:06.389058,15
2022-03-25 20:07:22.409462,13
2022-03-25 20:07:38.415223,14
2022-03-25 20:07:54.435911,15
2022-03-25 20:08:10.456160,15
2022-03-25 20:08:26.462077,14
2022-03-25 20:08:42.482654,16
2022-03-25 20:08:58.503127,13
2022-03-25 20:09:14.523642,13
2022-03-25 20:09:30.529242,15
2022-03-25 20:09:46.549802,15
2022-03-25 20:10:02.570370,16
2022-03-25 20:10:18.575927,13
2022-03-25 20:10:34.596838,13
2022-03-25 20:10:50.617836,14
2022-03-25 20:11:06.638355,15
2022-03-25 20:11:22.658710,15
2022-03-25 20:11:38.664429,13
2022-03-25 20:11:54.685158,11
2022-03-25 20:12:10.705576,11
2022-03-25 20:12:26.726181,13
2022-03-25 20:12:42.731848,13
2022-03-25 20:12:58.752587,13
2022-03-25 20:13:14.773080,11
2022-03-25 20:13:30.793521,12
2022-03-25 20:13:46.799172,13
2022-03-25 20:14:02.819849,11
2022-03-25 20:14:18.840481,13
2022-03-25 20:14:34.861051,11
2022-03-25 20:14:50.881727,15
2022-03-25 20:15:06.887636,14
2022-03-25 20:15:22.908021,13
2022-03-25 20:15:38.928530,15
2022-03-25 20:15:54.934241,15
2022-03-25 20:16:10.954748,11
2022-03-25 20:16:26.975422,14
2022-03-25 20:16:42.995995,13
2022-03-25 20:16:59.001654,14
2022-03-25 20:17:15.022376,13
2022-03-25 20:17:31.042622,14
2022-03-25 20:17:47.048121,13
2022-03-25 20:18:03.068618,14
2022-03-25 20:18:19.089466,14
2022-03-25 20:18:35.109895,14
