dateTime,shuntVoltageBattery,busVoltageBattery,currentBattery,powerBattery,shuntVoltageSolar,busVoltageSolar,currentSolar,powerSolar
2022-03-25 19:11:59.619070,-18.1299991607666,3.5959999561309814,-184.3000030517578,662.0,33.5099983215332,5.656000137329102,335.70001220703125,1884.0
2022-03-25 19:16:07.531812,-17.729999542236328,3.5920000076293945,-179.1999969482422,642.0,32.97999954223633,5.748000144958496,329.20001220703125,1890.0
2022-03-25 19:18:39.458347,-17.290000915527344,3.5840001106262207,-173.60000610351562,622.0,33.38999938964844,5.636000156402588,333.3999938964844,1878.0
2022-03-25 19:21:59.384600,-18.670000076293945,3.5920000076293945,-180.3000030517578,666.0,33.40999984741211,5.659999847412109,333.8999938964844,1890.0
2022-03-25 19:25:34.328904,-18.770000457763672,3.5920000076293945,-172.0,620.0,33.22999954223633,5.711999893188477,331.79998779296875,1894.0
2022-03-25 19:32:36.188359,-18.959999084472656,3.5959999561309814,-175.10000610351562,630.0,33.709999084472656,5.599999904632568,336.70001220703125,1884.0
2022-03-25 19:32:36.189373,-18.959999084472656,3.5959999561309814,-175.10000610351562,630.0,33.709999084472656,5.599999904632568,336.70001220703125,1884.0
2022-03-25 19:42:22.979912,-18.690000534057617,3.5959999561309814,-174.6999969482422,630.0,33.7400016784668,5.52400016784668,337.29998779296875,1872.0
2022-03-25 19:52:13.799343,-18.639999389648438,3.5920000076293945,-174.6999969482422,630.0,34.290000915527344,5.547999858856201,343.1000061035156,1898.0
2022-03-25 20:05:54.587626,-17.420000076293945,3.5880000591278076,-162.0,584.0,33.66999816894531,5.688000202178955,336.5,1910.0
2022-03-25 20:09:15.549856,-17.200000762939453,3.5920000076293945,-181.5,620.0,33.75,5.671999931335449,337.70001220703125,1914.0
2022-03-25 20:12:41.525200,-16.809999465942383,3.5999999046325684,-167.6999969482422,602.0,33.59000015258789,5.696000099182129,336.20001220703125,1916.0
2022-03-25 20:18:56.446196,-18.049999237060547,3.5999999046325684,-173.39999389648438,622.0,33.61000061035156,5.696000099182129,335.8999938964844,1914.0
2022-03-25 20:29:30.313123,-18.84000015258789,3.6040000915527344,-175.1999969482422,630.0,33.470001220703125,5.728000164031982,335.1000061035156,1916.0
