dateTime,powerMode
2022-03-25 19:15:08.338802,6
2022-03-25 19:22:22.561408,6
2022-03-25 19:22:32.556927,6
2022-03-25 19:22:37.559780,6
2022-03-25 19:22:42.558342,6
2022-03-25 19:22:47.554087,6
2022-03-25 19:30:27.769507,6
2022-03-25 19:39:03.988921,6
2022-03-25 19:39:08.986395,6
2022-03-25 19:39:13.985503,6
2022-03-25 19:39:23.981243,6
2022-03-25 19:39:28.981212,6
2022-03-25 19:39:38.987925,6
2022-03-25 19:39:48.984907,6
2022-03-25 19:39:53.982138,6
2022-03-25 19:39:53.984292,6
2022-03-25 19:40:13.981016,6
2022-03-25 19:40:33.985782,6
2022-03-25 19:40:33.989349,6
2022-03-25 19:45:19.127551,6
2022-03-25 19:45:24.135063,6
2022-03-25 19:45:24.136545,6
2022-03-25 19:55:39.348440,6
2022-03-25 19:55:54.358597,6
2022-03-25 19:55:54.358929,6
2022-03-25 19:56:14.353952,6
2022-03-25 19:59:43.516324,6
2022-03-25 19:59:43.514905,6
2022-03-25 20:07:48.735987,6
2022-03-25 20:14:46.947933,6
2022-03-25 20:14:46.951257,6
2022-03-25 20:22:45.172663,6
2022-03-25 20:22:50.167973,6
2022-03-25 20:23:00.167466,6
2022-03-25 20:23:00.168749,6
2022-03-25 20:23:05.168567,6
2022-03-25 20:23:05.169454,6
2022-03-25 20:23:20.172302,6
2022-03-25 20:23:40.173001,6
2022-03-25 20:23:40.173647,6
2022-03-25 20:32:52.362094,6
2022-03-25 20:32:57.359360,6
2022-03-25 20:33:02.381506,6
2022-03-25 20:33:12.364968,6
2022-03-25 20:33:22.368768,6
2022-03-25 20:33:32.360350,6
2022-03-25 20:37:33.543081,6
2022-03-25 20:37:38.536831,6
2022-03-25 20:37:43.544084,6
