dateTime,id,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,P1_lpo,P1_ratio,P1_conc,P2_lpo,P2_ratio,P2_conc,Temperature,Pressure,Humidity,gpsTime,Latitude,Longitude,shuntVoltageBat,busVoltageBat,currentBat,shuntVoltageSol,busVoltageSol,currentSol,CO2,SCD30_temperature,SCD30_humidity
2021-07-21 00:25:24,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1430704,9.54,5569.18,3987608,26.58,31804.82,32.03,100072.00,64,nan,32.710213,-96.747358,12.26,3.48,122.90,3.88,4.57,38.80,3246,32.87,53.45
2021-07-21 00:46:31,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1776815,11.85,7455.34,4244054,28.29,36586.36,30.96,100077.00,65,nan,32.710435,-96.747250,15.85,3.46,158.80,0.40,4.84,4.40,3300,31.44,54.79
2021-07-21 00:58:27,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1544590,10.30,6153.31,4325507,28.84,38213.08,30.81,100089.00,66,nan,32.710358,-96.747302,15.92,3.46,158.30,0.46,4.83,4.40,3274,31.30,54.96
2021-07-21 02:28:43,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1555798,10.37,6212.63,4176465,27.84,35276.66,27.43,100199.00,91,nan,32.710398,-96.747217,15.37,3.41,152.30,-0.01,0.41,-0.10,3330,27.68,64.18
2021-07-21 03:19:28,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1295028,8.63,4914.68,3555221,23.70,24836.69,27.06,100234.00,100,nan,32.710363,-96.747245,14.67,3.41,147.60,-0.03,0.41,-0.20,3344,27.27,66.95
2021-07-21 03:34:46,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1404626,9.36,5440.01,3762364,25.08,28010.86,26.60,100246.00,100,nan,32.710308,-96.747325,14.72,3.40,146.70,-0.03,0.41,-0.50,3351,27.01,68.02
2021-07-21 04:12:55,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1499898,10.00,5920.09,3741320,24.94,27674.94,26.06,100290.00,100,nan,32.710477,-96.747248,14.66,3.40,147.30,-0.02,0.41,-0.10,3402,26.39,71.36
2021-07-21 04:30:15,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1409669,9.40,5464.86,3744148,24.96,27719.90,25.82,100298.00,100,nan,32.710433,-96.747427,14.46,3.39,144.40,-0.02,0.42,-0.10,3362,26.10,72.18
2021-07-21 05:08:24,47cb5580002e004a,0.14,0.00,4.51,0.70,593.23,411.74,699.74,0.76,1303662,8.69,4955.08,3466111,23.11,23559.53,25.44,100298.00,100,nan,32.710363,-96.747212,14.54,3.37,145.80,0.00,0.42,-0.40,3381,25.74,74.86
2021-07-21 05:41:24,47cb5580002e004a,0.14,0.00,4.51,0.70,593.23,411.74,699.74,0.76,1454069,9.69,5686.32,3917419,26.12,30583.02,25.08,100307.00,100,nan,32.710508,-96.747157,14.46,3.34,145.60,-0.04,0.42,-0.30,3345,25.37,76.91
