dateTime,id,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,P1_lpo,P1_ratio,P1_conc,P2_lpo,P2_ratio,P2_conc,Temperature,Pressure,Humidity,gpsTime,Latitude,Longitude,shuntVoltageBat,busVoltageBat,currentBat,shuntVoltageSol,busVoltageSol,currentSol,CO2,SCD30_temperature,SCD30_humidity
2021-07-26 00:50:13,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1699631,11.33,7005.03,4234441,28.23,36397.88,35.07,99868.00,66,nan,32.710313,-96.747268,15.95,3.49,159.60,0.46,4.67,4.40,3288,34.66,55.47
2021-07-26 01:04:51,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1771399,11.81,7423.15,4183184,27.89,35405.25,34.36,99870.00,71,nan,32.710297,-96.747267,15.05,3.49,150.10,0.06,4.36,0.40,3270,34.26,57.05
2021-07-26 02:07:33,47cb5580002e004a,0.14,0.00,4.51,0.70,599.20,415.25,699.74,0.76,1519624,10.13,6022.38,3679481,24.53,26705.62,32.15,99911.00,82,nan,32.710380,-96.747397,14.87,3.46,148.80,-0.03,0.35,-0.30,3305,32.15,60.63
2021-07-26 07:44:41,47cb5580002e004a,0.14,0.00,4.51,0.70,593.23,411.74,699.74,0.76,1731151,11.54,7186.73,4160312,27.74,34968.98,27.48,99987.00,100,nan,32.710377,-96.747327,13.97,3.24,138.80,-0.03,0.41,-0.20,3179,27.38,74.76
2021-07-26 08:34:41,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,2777632,18.52,15311.35,3961521,26.41,31346.46,26.86,100013.00,100,nan,32.710293,-96.747427,13.78,3.16,138.60,-0.01,0.40,0.00,3084,27.14,76.03
2021-07-26 08:45:55,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1303198,8.69,4952.90,3699719,24.66,27019.94,26.26,100010.00,100,nan,32.710045,-96.747440,13.43,3.12,134.10,-0.01,0.41,0.00,0,0.00,0.00
2021-07-26 15:49:35,47cb5580002e004a,0.14,0.00,4.69,0.70,593.23,411.74,806.43,0.81,3271480,21.81,20945.94,4744723,31.63,47460.71,35.59,100195.00,61,nan,32.710228,-96.747342,-26.33,3.28,-263.50,30.92,5.46,308.50,3274,37.97,48.63
2021-07-26 16:00:49,47cb5580002e004a,0.14,0.00,4.55,0.70,593.23,411.74,724.70,0.77,3099975,20.67,18833.63,3760499,25.07,27980.97,35.78,100186.00,58,nan,32.710407,-96.747147,-26.28,3.33,-263.60,31.53,5.40,315.10,3395,37.26,48.84
2021-07-26 16:04:53,47cb5580002e004a,0.14,0.00,4.53,0.70,593.23,411.74,712.09,0.77,1763344,11.76,7375.43,4550806,30.34,42996.45,36.22,100179.00,57,nan,32.710407,-96.747147,-26.21,3.34,-261.80,31.11,5.50,311.40,3395,37.87,46.92
2021-07-26 16:07:35,47cb5580002e004a,0.14,0.00,4.55,0.70,593.23,411.74,724.70,0.77,2628163,17.52,13861.68,3338783,22.26,21823.02,36.55,100182.00,56,nan,nan,nan,-25.29,3.35,-252.50,31.48,5.44,314.60,0,38.04,45.41
2021-07-26 16:10:59,47cb5580002e004a,0.14,0.00,4.51,0.70,593.23,411.74,699.74,0.76,2582749,17.22,13442.76,4163884,27.76,35036.84,36.60,100181.00,54,nan,nan,nan,-26.05,3.36,-260.40,31.67,5.42,317.00,3414,38.06,45.24
2021-07-26 16:26:18,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,2394233,15.96,11805.70,4690923,31.27,46189.05,36.76,100163.00,58,nan,nan,nan,-25.95,3.42,-259.20,31.90,5.45,318.60,3454,38.02,48.06
2021-07-26 16:31:26,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,3444478,22.96,23257.24,4190940,27.94,35554.12,37.47,100166.00,54,nan,nan,nan,-24.72,3.43,-247.90,32.18,5.41,322.00,3502,39.16,43.44
2021-07-26 16:32:47,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,2346477,15.64,11416.01,4795723,31.97,48690.06,37.39,100167.00,51,nan,nan,nan,-25.55,3.43,-254.20,32.14,5.42,321.10,3501,39.25,44.74
2021-07-26 16:33:28,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,2392173,15.95,11788.68,4736119,31.57,47255.61,37.10,100166.00,51,nan,nan,nan,-24.98,3.43,-248.60,32.02,5.45,320.30,3483,39.25,43.39
2021-07-26 16:43:21,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,2596876,17.31,13572.03,4326436,28.84,38231.94,38.25,100158.00,53,nan,nan,nan,-24.92,3.46,-250.10,32.35,5.42,323.20,3448,39.95,45.04
2021-07-26 16:59:21,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,3105383,20.70,18897.61,3901880,26.01,30317.43,37.86,100147.00,53,nan,nan,nan,-24.77,3.50,-248.50,32.18,5.50,322.00,3335,40.03,42.98
2021-07-26 17:57:22,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,2746813,18.31,15003.34,3699316,24.66,27013.65,39.30,100077.00,35,nan,nan,nan,-24.91,3.53,-249.10,31.90,5.58,319.10,3336,40.90,33.51
2021-07-26 18:16:29,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,2891795,19.28,16494.91,3774304,25.16,28202.84,39.61,100063.00,33,nan,nan,nan,-24.66,3.53,-246.20,31.86,5.58,318.90,3318,40.94,33.27
2021-07-26 18:28:25,47cb5580002e004a,0.14,0.00,4.47,0.70,599.20,415.25,675.83,0.75,1570806,10.47,6292.60,4336190,28.91,38430.41,39.12,100064.00,36,nan,nan,nan,-24.40,3.54,-244.00,32.07,5.56,320.50,0,40.71,34.92
2021-07-26 18:54:19,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1848247,12.32,7888.73,4190543,27.94,35546.49,39.15,100049.00,35,nan,nan,nan,-24.72,3.55,-248.30,32.12,5.56,321.40,3272,41.35,33.47
2021-07-26 22:40:16,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,2632538,17.55,13902.55,4011728,26.74,32233.13,38.77,99874.00,48,nan,nan,nan,7.46,3.55,73.20,9.52,4.58,95.30,3158,38.94,46.09
2021-07-26 22:44:21,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,2339953,15.60,11363.53,4486154,29.91,41580.33,38.08,99865.00,47,nan,nan,nan,6.58,3.55,65.30,9.78,4.59,97.90,3200,38.34,45.40
2021-07-26 22:52:53,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,2247603,14.98,10639.78,4657462,31.05,45411.08,38.50,99855.00,49,nan,nan,nan,4.93,3.55,48.60,11.23,4.59,112.30,3201,38.82,46.70
2021-07-26 23:39:15,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,2093070,13.95,9505.32,4407871,29.39,39912.78,37.34,99842.00,53,nan,32.710327,-96.747297,10.22,3.52,102.30,5.87,4.57,58.70,3237,37.34,48.05
2021-07-26 23:59:25,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1931359,12.88,8414.07,4337324,28.92,38453.52,36.73,99841.00,56,nan,32.710437,-96.747180,12.68,3.51,127.30,3.35,4.57,33.50,3229,36.64,50.83
2021-07-26 00:50:13,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1699631,11.33,7005.03,4234441,28.23,36397.88,35.07,99868.00,66,nan,32.710313,-96.747268,15.95,3.49,159.60,0.46,4.67,4.40,3288,34.66,55.47
2021-07-26 01:04:51,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1771399,11.81,7423.15,4183184,27.89,35405.25,34.36,99870.00,71,nan,32.710297,-96.747267,15.05,3.49,150.10,0.06,4.36,0.40,3270,34.26,57.05
2021-07-26 02:07:33,47cb5580002e004a,0.14,0.00,4.51,0.70,599.20,415.25,699.74,0.76,1519624,10.13,6022.38,3679481,24.53,26705.62,32.15,99911.00,82,nan,32.710380,-96.747397,14.87,3.46,148.80,-0.03,0.35,-0.30,3305,32.15,60.63
2021-07-26 07:44:41,47cb5580002e004a,0.14,0.00,4.51,0.70,593.23,411.74,699.74,0.76,1731151,11.54,7186.73,4160312,27.74,34968.98,27.48,99987.00,100,nan,32.710377,-96.747327,13.97,3.24,138.80,-0.03,0.41,-0.20,3179,27.38,74.76
2021-07-26 08:34:41,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,2777632,18.52,15311.35,3961521,26.41,31346.46,26.86,100013.00,100,nan,32.710293,-96.747427,13.78,3.16,138.60,-0.01,0.40,0.00,3084,27.14,76.03
2021-07-26 08:45:55,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1303198,8.69,4952.90,3699719,24.66,27019.94,26.26,100010.00,100,nan,32.710045,-96.747440,13.43,3.12,134.10,-0.01,0.41,0.00,0,0.00,0.00
2021-07-26 08:51:21,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1414357,9.43,5488.02,4056651,27.04,33042.52,26.28,100004.00,100,nan,32.710045,-96.747440,7.09,3.12,71.20,8.78,5.49,87.80,0,0.00,0.00
