dateTime,id,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,P1_lpo,P1_ratio,P1_conc,P2_lpo,P2_ratio,P2_conc,Temperature,Pressure,Humidity,gpsTime,Latitude,Longitude,shuntVoltageBat,busVoltageBat,currentBat,shuntVoltageSol,busVoltageSol,currentSol,CO2,SCD30_temperature,SCD30_humidity
2021-07-07 00:13:16,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1809351,12.06,7650.71,4273967,28.49,37177.56,29.17,99929.00,88,nan,32.710442,-96.747195,9.73,3.48,97.50,6.25,4.58,62.60,3190,29.14,65.86
2021-07-07 00:25:52,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1654431,11.03,6749.64,4332846,28.89,38362.27,29.00,100016.00,100,nan,32.710447,-96.747240,10.98,3.48,109.70,5.59,4.58,56.00,3220,29.51,68.62
2021-07-07 00:29:15,47cb5580002e004a,0.14,0.00,4.47,0.70,599.20,415.25,675.83,0.75,1470838,9.81,5771.24,3955658,26.37,31244.14,28.61,100008.00,100,nan,32.710115,-96.747098,13.90,3.47,140.60,2.79,4.57,28.10,0,28.98,69.04
2021-07-07 00:41:11,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1401024,9.34,5422.30,3955668,26.37,31244.31,29.32,99960.00,97,nan,32.710115,-96.747098,12.73,3.47,127.20,3.58,4.57,35.80,0,29.59,68.21
2021-07-07 00:42:55,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1692404,11.28,6963.79,4410773,29.41,39973.68,29.21,99966.00,100,nan,32.710602,-96.747463,11.69,3.47,116.80,4.20,4.57,42.00,3220,29.73,68.51
2021-07-07 00:49:42,47cb5580002e004a,0.14,0.00,4.47,0.70,599.20,415.25,675.83,0.75,1639942,10.93,6669.03,3830291,25.54,29116.48,28.56,99961.00,100,nan,32.710602,-96.747463,11.90,3.47,118.00,4.29,4.58,42.60,3237,29.35,69.60
2021-07-07 00:56:52,47cb5580002e004a,0.14,0.00,4.47,0.70,599.20,415.25,675.83,0.75,1421340,9.48,5522.61,4393954,29.29,39621.66,28.29,99945.00,100,nan,32.710605,-96.747118,11.92,3.46,119.40,3.98,4.57,39.70,3235,28.98,71.75
2021-07-07 01:13:55,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1281779,8.55,4853.01,3967698,26.45,31454.54,27.80,99934.00,100,nan,32.710247,-96.747318,15.92,3.44,159.90,0.43,4.59,4.40,3271,28.32,75.42
2021-07-07 15:44:12,47cb5580002e004a,0.13,0.00,4.78,0.70,593.23,411.74,867.26,0.83,1006040,6.71,3649.16,3510989,23.41,24196.26,31.15,100213.00,91,nan,nan,nan,-26.39,3.27,-262.80,32.46,5.16,324.70,3254,32.65,61.27
2021-07-07 15:56:32,47cb5580002e004a,0.14,0.00,4.62,0.70,593.23,411.74,764.22,0.79,1836668,12.24,7817.36,4507063,30.05,42034.43,31.99,100198.00,82,nan,32.710440,-96.747230,-26.12,3.31,-262.20,31.89,5.32,319.00,3317,33.25,61.07
2021-07-07 16:00:57,47cb5580002e004a,0.14,0.00,4.64,0.70,593.23,411.74,777.98,0.80,1597866,10.65,6438.34,4283627,28.56,37370.02,32.41,100198.00,86,nan,32.710003,-96.747200,-26.37,3.34,-263.60,32.00,5.35,319.70,3378,33.64,62.09
2021-07-07 16:18:18,47cb5580002e004a,0.14,0.00,4.55,0.70,599.20,415.25,724.70,0.77,1755030,11.70,7326.39,4545768,30.31,42884.82,33.49,100196.00,78,nan,32.710407,-96.747117,-26.10,3.41,-261.40,31.79,5.47,317.80,3462,36.07,53.16
2021-07-07 16:38:45,47cb5580002e004a,0.14,0.00,4.53,0.70,599.20,415.25,712.09,0.77,2849747,19.00,16051.08,3883613,25.89,30007.47,33.75,100191.00,91,nan,nan,nan,-25.26,3.46,-252.70,31.79,5.54,318.40,3394,36.95,54.13
2021-07-07 00:13:16,47cb5580002e004a,0.14,0.00,4.47,0.70,593.23,411.74,675.83,0.75,1809351,12.06,7650.71,4273967,28.49,37177.56,29.17,99929.00,88,nan,32.710442,-96.747195,9.73,3.48,97.50,6.25,4.58,62.60,3190,29.14,65.86
2021-07-07 00:25:52,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1654431,11.03,6749.64,4332846,28.89,38362.27,29.00,100016.00,100,nan,32.710447,-96.747240,10.98,3.48,109.70,5.59,4.58,56.00,3220,29.51,68.62
2021-07-07 00:29:15,47cb5580002e004a,0.14,0.00,4.47,0.70,599.20,415.25,675.83,0.75,1470838,9.81,5771.24,3955658,26.37,31244.14,28.61,100008.00,100,nan,32.710115,-96.747098,13.90,3.47,140.60,2.79,4.57,28.10,0,28.98,69.04
2021-07-07 00:41:11,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1401024,9.34,5422.30,3955668,26.37,31244.31,29.32,99960.00,97,nan,32.710115,-96.747098,12.73,3.47,127.20,3.58,4.57,35.80,0,29.59,68.21
2021-07-07 00:42:55,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1692404,11.28,6963.79,4410773,29.41,39973.68,29.21,99966.00,100,nan,32.710602,-96.747463,11.69,3.47,116.80,4.20,4.57,42.00,3220,29.73,68.51
2021-07-07 00:49:42,47cb5580002e004a,0.14,0.00,4.47,0.70,599.20,415.25,675.83,0.75,1639942,10.93,6669.03,3830291,25.54,29116.48,28.56,99961.00,100,nan,32.710602,-96.747463,11.90,3.47,118.00,4.29,4.58,42.60,3237,29.35,69.60
2021-07-07 00:56:52,47cb5580002e004a,0.14,0.00,4.47,0.70,599.20,415.25,675.83,0.75,1421340,9.48,5522.61,4393954,29.29,39621.66,28.29,99945.00,100,nan,32.710605,-96.747118,11.92,3.46,119.40,3.98,4.57,39.70,3235,28.98,71.75
2021-07-07 01:13:55,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1281779,8.55,4853.01,3967698,26.45,31454.54,27.80,99934.00,100,nan,32.710247,-96.747318,15.92,3.44,159.90,0.43,4.59,4.40,3271,28.32,75.42
2021-07-07 15:44:12,47cb5580002e004a,0.13,0.00,4.78,0.70,593.23,411.74,867.26,0.83,1006040,6.71,3649.16,3510989,23.41,24196.26,31.15,100213.00,91,nan,nan,nan,-26.39,3.27,-262.80,32.46,5.16,324.70,3254,32.65,61.27
2021-07-07 15:56:32,47cb5580002e004a,0.14,0.00,4.62,0.70,593.23,411.74,764.22,0.79,1836668,12.24,7817.36,4507063,30.05,42034.43,31.99,100198.00,82,nan,32.710440,-96.747230,-26.12,3.31,-262.20,31.89,5.32,319.00,3317,33.25,61.07
