dateTime,id,NH3,CO,NO2,C3H8,C4H10,CH4,H2,C2H5OH,P1_lpo,P1_ratio,P1_conc,P2_lpo,P2_ratio,P2_conc,Temperature,Pressure,Humidity,gpsTime,Latitude,Longitude,shuntVoltageBat,busVoltageBat,currentBat,shuntVoltageSol,busVoltageSol,currentSol,CO2,SCD30_temperature,SCD30_humidity
2021-07-27 01:05:32,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1710210,11.40,7065.68,3521146,23.47,24342.18,34.31,99894.00,67,nan,32.710510,-96.747205,14.96,3.48,149.70,0.01,3.75,0.30,3303,34.01,56.09
2021-07-27 01:48:51,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1506727,10.04,5955.39,3681012,24.54,26729.30,33.17,99935.00,76,nan,32.710418,-96.747162,14.68,3.46,146.90,-0.03,0.44,0.00,3288,33.12,58.82
2021-07-27 06:49:53,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1366040,9.11,5251.89,3829663,25.53,29106.11,30.05,100079.00,98,nan,32.710308,-96.747400,14.42,3.34,143.60,-0.03,0.37,-0.20,3319,29.99,67.27
2021-07-27 06:53:58,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1594771,10.63,6421.57,4069381,27.13,33274.66,30.22,100087.00,96,nan,32.710308,-96.747400,14.25,3.33,142.40,-0.01,0.37,-0.20,3311,30.06,66.49
2021-07-27 06:55:01,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1316733,8.78,5016.54,3712556,24.75,27220.78,30.27,100088.00,95,nan,32.710408,-96.747355,14.28,3.34,142.60,-0.01,0.37,-0.10,0,29.92,66.61
2021-07-27 06:59:05,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1593465,10.62,6414.50,3840869,25.61,29291.61,30.39,100086.00,99,nan,32.710408,-96.747355,14.26,3.33,143.20,-0.03,0.37,-0.20,3336,30.30,67.19
2021-07-27 07:02:29,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1370698,9.14,5274.42,3781356,25.21,28316.70,29.81,100088.00,100,nan,32.710408,-96.747355,14.24,3.32,147.60,-0.02,0.36,0.00,3339,30.18,67.63
2021-07-27 07:03:50,47cb5580002e004a,0.14,0.00,4.49,0.70,599.20,415.25,687.66,0.76,1434127,9.56,5586.25,3834085,25.56,29179.20,29.62,100094.00,100,nan,32.710408,-96.747355,14.30,3.32,142.50,-0.02,0.37,-0.20,3337,30.08,67.80
2021-07-27 07:06:55,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1374434,9.16,5292.52,4148730,27.66,34749.62,29.44,100090.00,100,nan,32.710443,-96.747318,14.25,3.31,141.80,-0.04,0.38,0.00,3302,29.75,68.94
2021-07-27 07:07:36,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1568534,10.46,6280.46,4120189,27.47,34213.50,29.41,100089.00,100,nan,32.710443,-96.747318,14.34,3.31,142.80,-0.02,0.38,-0.30,3388,29.73,69.18
2021-07-27 07:09:38,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1471101,9.81,5772.58,3800839,25.34,28633.08,29.28,100090.00,100,nan,32.710443,-96.747318,14.23,3.31,142.30,-0.03,0.37,0.00,3319,29.62,69.79
2021-07-27 07:13:43,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1340732,8.94,5130.40,3978993,26.53,31652.89,29.11,100092.00,100,nan,32.710443,-96.747318,14.19,3.30,141.00,-0.02,0.38,-0.10,3326,29.38,70.37
2021-07-27 07:15:04,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1340034,8.93,5127.07,3946865,26.31,31091.16,29.08,100089.00,100,nan,32.710373,-96.747385,14.19,3.29,142.20,-0.05,0.38,0.10,0,29.14,70.19
2021-07-27 07:19:31,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1597664,10.65,6437.25,3772507,25.15,28173.88,29.11,100091.00,100,nan,32.710373,-96.747385,14.09,3.29,140.50,-0.03,0.37,0.20,3322,29.24,70.47
2021-07-27 07:21:33,47cb5580002e004a,0.14,0.00,4.49,0.70,593.23,411.74,687.66,0.76,1299878,8.67,4937.35,3742136,24.95,27687.90,29.06,100095.00,100,nan,32.710373,-96.747385,14.87,3.28,147.50,0.02,0.38,-0.10,3320,29.24,70.45
