dateTime,powerMode
2022-03-25 19:26:23.680722,6
2022-03-25 19:26:38.681168,6
2022-03-25 19:26:43.684217,6
2022-03-25 19:26:43.684602,6
2022-03-25 19:26:48.702324,6
2022-03-25 19:26:48.704107,6
2022-03-25 19:36:11.081489,6
2022-03-25 19:36:16.080996,6
2022-03-25 19:36:16.083183,6
2022-03-25 19:36:21.076105,6
2022-03-25 19:45:56.499746,6
2022-03-25 19:46:01.499072,6
2022-03-25 19:54:43.904248,6
2022-03-25 20:13:38.664710,6
2022-03-25 20:14:03.669198,6
2022-03-25 20:14:03.673448,6
2022-03-25 20:14:03.679940,6
2022-03-25 20:14:08.666986,6
2022-03-25 20:14:08.668658,6
2022-03-25 20:23:26.073381,6
2022-03-25 20:23:41.074719,6
2022-03-25 20:23:46.069996,6
2022-03-25 20:23:51.076241,6
2022-03-25 20:23:51.077438,6
2022-03-25 20:24:01.074635,6
2022-03-25 20:24:01.077706,6
2022-03-25 20:24:06.077732,6
2022-03-25 20:24:06.079500,6
2022-03-25 20:24:11.095765,6
2022-03-25 20:24:16.070160,6
2022-03-25 20:24:26.076794,6
2022-03-25 20:24:31.070271,6
2022-03-25 20:24:46.075883,6
2022-03-25 20:32:47.528080,6
2022-03-25 20:32:47.530514,6
2022-03-25 20:32:52.517385,6
2022-03-25 20:32:52.518353,6
2022-03-25 20:32:57.513277,6
2022-03-25 20:32:57.514126,6
2022-03-25 20:33:02.507981,6
