dateTime,source,energy,distance
2022-03-25 19:09:25.826036,2,0,63
2022-03-25 19:09:25.921861,2,0,63
2022-03-25 19:09:26.129213,2,30,63
2022-03-25 19:09:26.352939,2,30,63
2022-03-25 19:09:26.560551,2,30,63
2022-03-25 19:09:26.768126,2,30,63
2022-03-25 19:09:27.010839,2,31,63
2022-03-25 19:09:27.087395,2,0,63
2022-03-25 19:09:27.295184,2,30,63
2022-03-25 19:09:27.470851,2,30,63
2022-03-25 19:09:27.694309,2,30,63
2022-03-25 19:09:27.917997,2,30,63
2022-03-25 19:09:27.997907,2,0,63
2022-03-25 19:09:28.221329,2,30,63
2022-03-25 19:09:28.381088,2,30,63
2022-03-25 19:09:28.556714,2,30,63
2022-03-25 19:09:28.780064,2,30,63
2022-03-25 19:09:28.875896,2,0,63
2022-03-25 19:09:29.099655,2,30,63
2022-03-25 19:09:29.195280,2,0,63
2022-03-25 19:09:29.291549,2,0,63
2022-03-25 19:09:29.498862,2,30,63
2022-03-25 19:09:29.674524,2,30,63
2022-03-25 19:09:29.897859,2,31,63
2022-03-25 19:09:30.105607,2,30,63
2022-03-25 19:09:30.297472,2,30,63
2022-03-25 19:09:30.505088,2,30,63
2022-03-25 19:09:30.616848,2,0,63
2022-03-25 19:09:30.808052,2,30,63
2022-03-25 19:09:31.031869,2,30,63
2022-03-25 19:09:31.127488,2,0,63
2022-03-25 19:09:31.335422,2,30,63
2022-03-25 19:09:31.542817,2,30,63
2022-03-25 19:09:31.638458,2,0,63
2022-03-25 19:09:31.750682,2,0,63
2022-03-25 19:09:31.973782,2,30,63
2022-03-25 19:09:32.054005,2,0,63
2022-03-25 19:09:32.293479,2,30,63
2022-03-25 19:09:32.388949,2,0,63
2022-03-25 19:09:32.596814,2,30,63
2022-03-25 19:09:32.836051,2,30,63
2022-03-25 19:09:32.900181,2,0,63
2022-03-25 19:09:33.107563,2,30,63
2022-03-25 19:09:33.299400,2,30,63
2022-03-25 19:09:33.410934,2,0,63
2022-03-25 19:09:33.618539,2,30,63
2022-03-25 19:09:33.682746,2,0,63
2022-03-25 19:09:33.778536,2,0,63
2022-03-25 19:09:33.985881,2,30,63
2022-03-25 19:09:34.177907,2,31,63
2022-03-25 19:09:34.385246,2,30,63
2022-03-25 19:09:34.608558,2,31,63
2022-03-25 19:09:34.800520,2,31,63
2022-03-25 19:09:34.991822,2,31,63
2022-03-25 19:09:35.059081,2,0,63
2022-03-25 19:09:35.151643,2,0,63
2022-03-25 19:09:35.359182,2,30,63
2022-03-25 19:09:35.598605,2,30,63
2022-03-25 19:09:35.806415,2,30,63
2022-03-25 19:09:36.030085,2,30,63
2022-03-25 19:09:36.109831,2,0,63
2022-03-25 19:09:36.205888,2,0,63
2022-03-25 19:09:36.413176,2,30,63
2022-03-25 19:09:36.589189,2,31,63
2022-03-25 19:09:36.812545,2,30,63
2022-03-25 19:09:37.020387,2,30,63
2022-03-25 19:09:37.116088,2,0,63
2022-03-25 19:09:37.211639,2,0,63
2022-03-25 19:09:37.307482,2,0,63
2022-03-25 19:09:37.387606,2,0,63
2022-03-25 19:09:37.547267,2,0,63
2022-03-25 19:09:37.642973,2,0,63
2022-03-25 19:09:37.834848,2,30,63
2022-03-25 19:09:38.042426,2,30,63
2022-03-25 19:09:38.153903,2,0,63
2022-03-25 19:09:38.361718,2,30,63
2022-03-25 19:09:38.569107,2,30,63
2022-03-25 19:09:38.648925,2,0,63
2022-03-25 19:09:38.872502,2,30,63
2022-03-25 19:09:38.952641,2,0,63
2022-03-25 19:09:39.159992,2,30,63
2022-03-25 19:09:39.367487,2,30,63
2022-03-25 19:09:39.543259,2,30,63
2022-03-25 19:09:39.798759,2,31,63
2022-03-25 19:09:40.006473,2,30,63
2022-03-25 19:09:40.261797,2,30,63
2022-03-25 19:09:40.341904,2,0,63
2022-03-25 19:09:40.437724,2,0,63
2022-03-25 19:09:40.629202,2,30,63
2022-03-25 19:09:40.708950,2,0,63
2022-03-25 19:09:40.919781,2,30,63
2022-03-25 19:09:41.124282,2,30,63
2022-03-25 19:09:41.331821,2,30,63
2022-03-25 19:09:41.555510,2,30,63
2022-03-25 19:09:41.650981,2,0,63
2022-03-25 19:09:41.842983,2,30,63
2022-03-25 19:09:42.082246,2,30,63
2022-03-25 19:09:42.162063,2,0,63
2022-03-25 19:09:42.369839,2,30,63
2022-03-25 19:09:42.593040,2,30,63
2022-03-25 19:09:42.816858,2,30,63
2022-03-25 19:09:42.896924,2,0,63
2022-03-25 19:09:43.120099,2,30,63
2022-03-25 19:09:43.296141,2,30,63
2022-03-25 19:09:43.455565,2,30,63
2022-03-25 19:09:43.631345,2,30,63
2022-03-25 19:09:43.727067,2,0,63
2022-03-25 19:09:43.918537,2,30,63
2022-03-25 19:09:43.998594,2,0,63
2022-03-25 19:09:44.094956,2,0,63
2022-03-25 19:09:44.174402,2,0,63
2022-03-25 19:09:44.397468,2,30,63
2022-03-25 19:09:44.605375,2,30,63
2022-03-25 19:09:44.796972,2,30,63
2022-03-25 19:09:45.004525,2,30,63
