dateTime,uvLevel
2022-03-25 19:09:31.459299,0
2022-03-25 19:09:43.493248,0
2022-03-25 19:09:55.526659,0
2022-03-25 19:10:07.560015,0
2022-03-25 19:10:19.593780,1
2022-03-25 19:10:31.611951,0
2022-03-25 19:10:43.645436,0
2022-03-25 19:10:55.663786,0
2022-03-25 19:11:07.697028,1
2022-03-25 19:11:19.715199,1
2022-03-25 19:11:31.748668,2
2022-03-25 19:11:43.766776,0
2022-03-25 19:11:55.800096,0
2022-03-25 19:12:07.818390,1
2022-03-25 19:12:19.851716,1
2022-03-25 19:12:31.869865,0
2022-03-25 19:12:43.903290,2
2022-03-25 19:12:55.921468,2
2022-03-25 19:13:07.954953,0
2022-03-25 19:13:19.988606,1
2022-03-25 19:13:32.006968,1
2022-03-25 19:13:44.040384,2
2022-03-25 19:13:56.058700,2
2022-03-25 19:14:08.091990,1
2022-03-25 19:14:20.110233,0
2022-03-25 19:14:32.143853,0
2022-03-25 19:14:44.162121,1
2022-03-25 19:14:56.195452,0
2022-03-25 19:15:08.213426,0
2022-03-25 19:15:20.246552,0
2022-03-25 19:15:32.264767,0
2022-03-25 19:15:44.298157,1
2022-03-25 19:15:56.316243,0
2022-03-25 19:16:08.349870,0
2022-03-25 19:16:20.367810,0
2022-03-25 19:16:32.401336,1
2022-03-25 19:16:44.419628,2
2022-03-25 19:16:56.453045,1
2022-03-25 19:17:08.486363,2
2022-03-25 19:17:20.504737,2
2022-03-25 19:17:32.538502,1
2022-03-25 19:17:44.572050,0
2022-03-25 19:17:56.590107,1
2022-03-25 19:18:08.623514,0
2022-03-25 19:18:20.641609,0
2022-03-25 19:18:32.674959,1
2022-03-25 19:18:44.693285,0
2022-03-25 19:18:56.726783,0
2022-03-25 19:19:08.744858,1
2022-03-25 19:19:20.778340,0
2022-03-25 19:19:32.812138,0
2022-03-25 19:19:44.845635,0
2022-03-25 19:19:56.863715,0
2022-03-25 19:20:08.897207,0
2022-03-25 19:20:20.915135,2
2022-03-25 19:20:32.948553,1
2022-03-25 19:20:44.966833,0
2022-03-25 19:20:57.000591,0
2022-03-25 19:21:09.018824,1
2022-03-25 19:21:21.052224,0
2022-03-25 19:21:33.085801,1
2022-03-25 19:21:45.103966,0
2022-03-25 19:21:57.137509,1
2022-03-25 19:22:09.170758,0
2022-03-25 19:22:21.188919,2
2022-03-25 19:22:33.222640,0
2022-03-25 19:22:45.240958,0
2022-03-25 19:22:57.274463,2
2022-03-25 19:23:09.292788,0
2022-03-25 19:23:21.326307,1
2022-03-25 19:23:33.359432,0
2022-03-25 19:23:45.378017,1
2022-03-25 19:23:57.411063,0
2022-03-25 19:24:09.429540,0
2022-03-25 19:24:21.462886,0
2022-03-25 19:24:33.480940,0
2022-03-25 19:24:45.514088,2
2022-03-25 19:24:57.532146,0
2022-03-25 19:25:09.565789,0
2022-03-25 19:25:21.583999,2
2022-03-25 19:25:33.618094,0
2022-03-25 19:25:45.651356,0
2022-03-25 19:25:57.685352,1
2022-03-25 19:26:09.703548,0
2022-03-25 19:26:21.736741,2
2022-03-25 19:26:33.754920,1
2022-03-25 19:26:45.788678,0
2022-03-25 19:26:57.822422,2
2022-03-25 19:27:09.855766,2
2022-03-25 19:27:21.874069,2
2022-03-25 19:27:33.907537,1
2022-03-25 19:27:45.941461,0
2022-03-25 19:27:57.959698,0
2022-03-25 19:28:09.993446,0
2022-03-25 19:28:22.011524,2
2022-03-25 19:28:34.045024,0
2022-03-25 19:28:46.063419,2
2022-03-25 19:28:58.096853,0
2022-03-25 19:29:10.115020,0
2022-03-25 19:29:22.148645,2
2022-03-25 19:29:34.182093,1
2022-03-25 19:29:46.200427,0
2022-03-25 19:29:58.233758,1
2022-03-25 19:30:10.252091,1
2022-03-25 19:30:22.285581,2
2022-03-25 19:30:34.303661,2
2022-03-25 19:30:46.337210,2
2022-03-25 19:30:58.355194,2
2022-03-25 19:31:10.388750,1
2022-03-25 19:31:22.406768,1
2022-03-25 19:31:34.440587,0
2022-03-25 19:31:46.473942,1
2022-03-25 19:31:58.507613,0
2022-03-25 19:32:10.525846,2
2022-03-25 19:32:22.559932,1
2022-03-25 19:32:34.577824,1
2022-03-25 19:32:46.611021,2
2022-03-25 19:32:58.629068,2
2022-03-25 19:33:10.662586,2
2022-03-25 19:33:22.696111,0
2022-03-25 19:33:34.714286,2
2022-03-25 19:33:46.732372,2
2022-03-25 19:33:58.765664,1
2022-03-25 19:34:10.799401,0
2022-03-25 19:34:22.817656,0
2022-03-25 19:34:34.851243,0
2022-03-25 19:34:46.884609,0
2022-03-25 19:34:58.902769,2
2022-03-25 19:35:10.936319,2
2022-03-25 19:35:22.969744,1
2022-03-25 19:35:34.987790,1
2022-03-25 19:35:47.021341,0
2022-03-25 19:35:59.039528,0
2022-03-25 19:36:11.073276,0
2022-03-25 19:36:23.091462,1
2022-03-25 19:36:35.125059,1
2022-03-25 19:36:47.158633,1
2022-03-25 19:36:59.176709,1
2022-03-25 19:37:11.210097,0
2022-03-25 19:37:23.243924,0
2022-03-25 19:37:35.262072,1
2022-03-25 19:37:47.295514,0
2022-03-25 19:37:59.313726,1
