dateTime,countPerMinute,radiationValue,timeSpent,LIBRADCount
2022-03-25 19:26:46.833531,24.0000,0.1949,10000,4
2022-03-25 19:26:56.992652,30.0000,0.2436,10000,5
2022-03-25 19:27:07.136816,18.0000,0.1462,10000,3
2022-03-25 19:27:17.295817,24.0000,0.1949,10000,4
2022-03-25 19:27:27.439610,12.0000,0.0974,10000,2
2022-03-25 19:27:37.583514,12.0000,0.0974,10000,2
2022-03-25 19:27:47.742359,18.0000,0.1462,10000,3
2022-03-25 19:27:57.886196,18.0000,0.1462,10000,3
2022-03-25 19:28:08.045448,12.0000,0.0974,10000,2
2022-03-25 19:28:18.189863,54.0000,0.4385,10000,9
2022-03-25 19:28:28.348964,30.0000,0.2436,10000,5
2022-03-25 19:28:38.493068,18.0000,0.1462,10000,3
2022-03-25 19:28:48.652006,12.0000,0.0974,10000,2
2022-03-25 19:28:58.795882,12.0000,0.0974,10000,2
2022-03-25 19:29:08.954633,18.0000,0.1462,10000,3
2022-03-25 19:29:19.098416,18.0000,0.1462,10000,3
2022-03-25 19:29:29.242244,12.0000,0.0974,10000,2
2022-03-25 19:29:39.401352,12.0000,0.0974,10000,2
2022-03-25 19:29:49.544952,24.0000,0.1949,10000,4
2022-03-25 19:29:59.703885,12.0000,0.0974,10000,2
2022-03-25 19:30:09.847945,24.0000,0.1949,10000,4
2022-03-25 19:30:20.006810,18.0000,0.1462,10000,3
2022-03-25 19:30:30.150800,6.0000,0.0487,10000,1
2022-03-25 19:30:40.294724,12.0000,0.0974,10000,2
2022-03-25 19:30:50.453805,6.0000,0.0487,10000,1
2022-03-25 19:31:00.597771,18.0000,0.1462,10000,3
2022-03-25 19:31:10.756899,12.0000,0.0974,10000,2
2022-03-25 19:31:20.900760,0.0000,0.0000,10000,0
2022-03-25 19:31:31.044543,12.0000,0.0974,10000,2
2022-03-25 19:31:41.203666,18.0000,0.1462,10000,3
2022-03-25 19:31:51.347409,12.0000,0.0974,10000,2
2022-03-25 19:32:01.506644,6.0000,0.0487,10000,1
2022-03-25 19:32:11.650675,12.0000,0.0974,10000,2
2022-03-25 19:32:21.794349,0.0000,0.0000,10000,0
2022-03-25 19:32:31.953397,18.0000,0.1462,10000,3
2022-03-25 19:32:42.112497,30.0000,0.2436,10000,5
2022-03-25 19:32:52.256592,24.0000,0.1949,10000,4
2022-03-25 19:33:02.400317,6.0000,0.0487,10000,1
2022-03-25 19:33:12.559240,6.0000,0.0487,10000,1
2022-03-25 19:33:22.703127,12.0000,0.0974,10000,2
2022-03-25 19:33:32.862069,12.0000,0.0974,10000,2
2022-03-25 19:33:43.005694,0.0000,0.0000,10000,0
2022-03-25 19:33:53.149583,6.0000,0.0487,10000,1
2022-03-25 19:34:03.308224,18.0000,0.1462,10000,3
2022-03-25 19:34:13.452094,30.0000,0.2436,10000,5
2022-03-25 19:34:23.595702,6.0000,0.0487,10000,1
