dateTime,lightLevel
2022-03-25 19:09:39.623563,784
2022-03-25 19:09:55.644446,778
2022-03-25 19:10:11.650456,779
2022-03-25 19:10:27.670920,781
2022-03-25 19:10:43.691642,779
2022-03-25 19:10:59.697474,779
2022-03-25 19:11:15.718194,782
2022-03-25 19:11:31.738925,778
2022-03-25 19:11:47.744685,781
2022-03-25 19:12:03.765520,779
2022-03-25 19:12:19.786055,782
2022-03-25 19:12:35.806807,779
2022-03-25 19:12:51.812630,781
2022-03-25 19:13:07.833200,784
2022-03-25 19:13:23.838814,782
2022-03-25 19:13:39.859476,781
2022-03-25 19:13:55.865038,781
2022-03-25 19:14:11.885718,781
2022-03-25 19:14:27.906381,781
2022-03-25 19:14:43.912071,780
2022-03-25 19:14:59.932875,783
2022-03-25 19:15:15.953612,778
2022-03-25 19:15:31.974300,783
2022-03-25 19:15:47.979947,781
2022-03-25 19:16:04.000693,778
2022-03-25 19:16:20.021372,783
2022-03-25 19:16:36.042442,777
2022-03-25 19:16:52.048440,781
2022-03-25 19:17:08.068935,781
2022-03-25 19:17:24.089938,780
2022-03-25 19:17:40.110574,780
2022-03-25 19:17:56.116567,779
2022-03-25 19:18:12.137246,779
2022-03-25 19:18:28.157616,780
2022-03-25 19:18:44.178422,778
2022-03-25 19:19:00.184115,783
2022-03-25 19:19:16.204702,784
2022-03-25 19:19:32.225814,780
2022-03-25 19:19:48.246568,779
2022-03-25 19:20:04.252630,779
2022-03-25 19:20:20.273322,783
2022-03-25 19:20:36.294164,779
2022-03-25 19:20:52.299769,781
2022-03-25 19:21:08.320582,780
2022-03-25 19:21:24.341078,778
2022-03-25 19:21:40.361930,781
2022-03-25 19:21:56.367617,782
2022-03-25 19:22:12.388017,781
2022-03-25 19:22:28.408861,778
2022-03-25 19:22:44.414622,784
2022-03-25 19:23:00.435364,779
2022-03-25 19:23:16.455997,781
2022-03-25 19:23:32.461616,782
2022-03-25 19:23:48.482500,779
2022-03-25 19:24:04.503251,779
2022-03-25 19:24:20.524107,779
2022-03-25 19:24:36.529791,779
2022-03-25 19:24:52.550540,779
2022-03-25 19:25:08.571468,779
2022-03-25 19:25:24.591962,782
2022-03-25 19:25:40.597808,781
2022-03-25 19:25:56.618259,779
2022-03-25 19:26:12.639018,780
2022-03-25 19:26:28.644848,783
2022-03-25 19:26:44.665529,781
2022-03-25 19:27:00.686317,784
2022-03-25 19:27:16.707151,781
2022-03-25 19:27:32.712970,782
2022-03-25 19:27:48.733854,784
2022-03-25 19:28:04.754472,785
2022-03-25 19:28:20.775369,780
2022-03-25 19:28:36.781240,785
2022-03-25 19:28:52.802266,785
2022-03-25 19:29:08.822681,781
2022-03-25 19:29:24.843483,785
2022-03-25 19:29:40.849296,779
2022-03-25 19:29:56.870081,783
2022-03-25 19:30:12.890619,783
2022-03-25 19:30:28.896380,780
2022-03-25 19:30:44.916854,784
2022-03-25 19:31:00.922934,783
2022-03-25 19:31:16.943388,779
2022-03-25 19:31:32.964159,779
2022-03-25 19:31:48.969788,779
2022-03-25 19:32:04.990396,779
2022-03-25 19:32:21.011264,783
2022-03-25 19:32:37.016901,780
2022-03-25 19:32:53.037832,778
2022-03-25 19:33:09.058457,784
2022-03-25 19:33:25.079044,779
2022-03-25 19:33:41.100184,779
2022-03-25 19:33:57.106100,780
2022-03-25 19:34:13.126971,778
2022-03-25 19:34:29.147511,783
2022-03-25 19:34:45.168304,780
2022-03-25 19:35:01.174282,778
2022-03-25 19:35:17.194971,777
2022-03-25 19:35:33.215501,778
2022-03-25 19:35:49.236247,781
2022-03-25 19:36:05.242422,777
2022-03-25 19:36:21.262933,780
2022-03-25 19:36:37.283787,780
2022-03-25 19:36:53.304420,777
2022-03-25 19:37:09.310378,778
2022-03-25 19:37:25.330923,779
2022-03-25 19:37:41.351632,778
2022-03-25 19:37:57.372316,777
2022-03-25 19:38:13.378037,778
2022-03-25 19:38:29.398758,781
2022-03-25 19:38:45.419285,778
2022-03-25 19:39:01.425082,779
2022-03-25 19:39:17.445676,778
2022-03-25 19:39:33.466342,776
2022-03-25 19:39:49.487184,779
2022-03-25 19:40:05.507652,779
2022-03-25 19:40:21.513391,781
2022-03-25 19:40:37.534092,777
2022-03-25 19:40:53.554687,776
2022-03-25 19:41:09.560348,781
2022-03-25 19:41:25.580872,778
2022-03-25 19:41:41.601408,779
2022-03-25 19:41:57.622457,776
2022-03-25 19:42:13.628204,780
2022-03-25 19:42:29.648638,777
2022-03-25 19:42:45.669287,780
2022-03-25 19:43:01.690041,777
2022-03-25 19:43:17.695922,776
2022-03-25 19:43:33.716614,776
2022-03-25 19:43:49.737173,775
2022-03-25 19:44:05.757600,779
2022-03-25 19:44:21.763207,779
2022-03-25 19:44:37.783726,778
2022-03-25 19:44:53.804507,779
2022-03-25 19:45:09.825656,780
2022-03-25 19:45:25.846243,775
