dateTime,Latitude,Longitude,Speed,Altitude,Course,HDOP,Year,Month,Day,Hour,Minute,Second
2022-03-25 19:21:13.561063,32.992401667,-96.757811667,0.018520000000000002,211.8,204.77,0.97,2022,3,25,19,21,10
2022-03-25 19:40:12.306073,32.9924,-96.757826667,0.05556,234.1,69.38,0.82,2022,3,25,19,40,9
2022-03-25 19:44:06.091251,32.99236,-96.757845,0.07408000000000001,217.6,62.47,0.82,2022,3,25,19,44,3
2022-03-25 19:54:00.878083,32.992301667,-96.757835,0.037040000000000003,233.3,216.6,0.84,2022,3,25,19,53,58
2022-03-25 20:06:31.659457,32.992433333,-96.757846667,0.05556,225.4,0.0,0.98,2022,3,25,20,6,28
2022-03-25 20:18:02.433544,32.992443333,-96.757846667,0.037040000000000003,224.6,197.96,1.02,2022,3,25,20,17,59
2022-03-25 20:30:38.185583,32.992466667,-96.757853333,0.05556,232.0,33.0,1.0,2022,3,25,20,30,35
2022-03-25 20:39:08.978706,32.992411667,-96.757841667,0.037040000000000003,239.2,49.0,1.02,2022,3,25,20,39,6
