dateTime,Temperature,Pressure,Humidity
2022-03-25 19:17:06.873248,27.799999237060547,992.7899780273438,13.0
2022-03-25 19:26:45.573805,28.079999923706055,992.6799926757812,12.0
2022-03-25 19:29:06.153804,28.010000228881836,992.6500244140625,14.0
2022-03-25 19:38:30.858523,27.190000534057617,992.6099853515625,13.0
2022-03-25 19:47:15.551516,28.299999237060547,992.4600219726562,11.0
2022-03-25 19:55:46.253824,28.239999771118164,992.4199829101562,14.0
2022-03-25 19:58:44.816634,27.959999084472656,992.3800048828125,16.0
2022-03-25 20:14:04.614655,29.0,992.1500244140625,11.0
2022-03-25 20:17:19.183911,28.8799991607666,992.1699829101562,11.0
2022-03-25 20:19:36.750919,28.520000457763672,992.1699829101562,11.0
2022-03-25 20:28:30.488853,27.65999984741211,991.8800048828125,12.0
2022-03-25 20:31:55.068878,28.770000457763672,991.9400024414062,11.0
2022-03-25 20:43:50.422277,29.510000228881836,991.6500244140625,14.0
