Labels,Scientific name,Common name
1174,Larus marinus,Great Black-backed Gull
1175,Larus michahellis,Yellow-legged Gull
1176,Larus occidentalis,Western Gull
1177,Larvivora brunnea,Indian Blue Robin
1178,Larvivora cyane,Siberian Blue Robin
1179,Laterallus albigularis,White-throated Crake
1180,Laterallus exilis,Gray-breasted Crake
1181,Laterallus jamaicensis,Black Rail
1182,Laterallus melanophaius,Rufous-sided Crake
1183,Laterallus ruber,Ruddy Crake
1184,Lathrotriccus euleri,Euler's Flycatcher
1185,Legatus leucophaius,Piratic Flycatcher
1186,Leiothlypis celata,Orange-crowned Warbler
1187,Leiothlypis luciae,Lucy's Warbler
1188,Leiothlypis peregrina,Tennessee Warbler
1189,Leiothlypis ruficapilla,Nashville Warbler
1190,Leiothlypis virginiae,Virginia's Warbler
1191,Leiothrix lutea,Red-billed Leiothrix
1192,Leistes bellicosus,Peruvian Meadowlark
1193,Leistes loyca,Long-tailed Meadowlark
1194,Leistes militaris,Red-breasted Meadowlark
1195,Leistes superciliaris,White-browed Meadowlark
1196,Lepidocolaptes affinis,Spot-crowned Woodcreeper
1197,Lepidocolaptes angustirostris,Narrow-billed Woodcreeper
1198,Lepidocolaptes lacrymiger,Montane Woodcreeper
1199,Lepidocolaptes souleyetii,Streak-headed Woodcreeper
1200,Lepidothrix coronata,Blue-crowned Manakin
1201,Leptasthenura aegithaloides,Plain-mantled Tit-Spinetail
1202,Leptocoma minima,Crimson-backed Sunbird
1203,Leptocoma zeylonica,Purple-rumped Sunbird
1204,Leptodon cayanensis,Gray-headed Kite
1205,Leptopogon amaurocephalus,Sepia-capped Flycatcher
1206,Leptopogon rufipectus,Rufous-breasted Flycatcher
1207,Leptopogon superciliaris,Slaty-capped Flycatcher
1208,Leptotila rufaxilla,Gray-fronted Dove
1209,Leptotila verreauxi,White-tipped Dove
1210,Leucochloris albicollis,White-throated Hummingbird
1211,Leucophaeus atricilla,Laughing Gull
1212,Leucophaeus pipixcan,Franklin's Gull
1213,Leucosticte tephrocotis,Gray-crowned Rosy-Finch
1214,Lichmera indistincta,Brown Honeyeater
1215,Limnodromus griseus,Short-billed Dowitcher
1216,Limnodromus scolopaceus,Long-billed Dowitcher
1217,Limnothlypis swainsonii,Swainson's Warbler
1218,Limosa fedoa,Marbled Godwit
1219,Limosa haemastica,Hudsonian Godwit
1220,Limosa lapponica,Bar-tailed Godwit
1221,Limosa limosa,Black-tailed Godwit
1222,Linaria cannabina,Eurasian Linnet
1223,Linaria flavirostris,Twite
1224,Liocichla steerii,Steere's Liocichla
1225,Lipaugus unirufus,Rufous Piha
1226,Lipaugus vociferans,Screaming Piha
1227,Lithobates catesbeianus,American Bullfrog
1228,Lithobates clamitans,Green Frog
1229,Lithobates palustris,Pickerel Frog
1230,Lithobates sylvaticus,Wood Frog
1231,Lochmias nematura,Sharp-tailed Streamcreeper
1232,Locustella luscinioides,Savi's Warbler
1233,Locustella naevia,Common Grasshopper-Warbler
1234,Lonchura atricapilla,Chestnut Munia
1235,Lonchura punctulata,Scaly-breasted Munia
1236,Lonchura striata,White-rumped Munia
1237,Lophoceros alboterminatus,Crowned Hornbill
1238,Lophoceros nasutus,African Gray Hornbill
1239,Lophodytes cucullatus,Hooded Merganser
1240,Lophophanes cristatus,Crested Tit
1241,Lophostrix cristata,Crested Owl
1242,Lophotriccus pileatus,Scale-crested Pygmy-Tyrant
1243,Lophura leucomelanos,Kalij Pheasant
1244,Loriculus vernalis,Vernal Hanging-Parrot
1245,Loxia curvirostra,Red Crossbill
1246,Loxia leucoptera,White-winged Crossbill
1247,Loxioides bailleui,Palila
1248,Loxops caeruleirostris,Akekee
1249,Loxops coccineus,Hawaii Akepa
1250,Loxops mana,Hawaii Creeper
1251,Lullula arborea,Wood Lark
1252,Lurocalis semitorquatus,Short-tailed Nighthawk
1253,Luscinia luscinia,Thrush Nightingale
1254,Luscinia megarhynchos,Common Nightingale
1255,Luscinia svecica,Bluethroat
1256,Lybius torquatus,Black-collared Barbet
1257,Lymnocryptes minimus,Jack Snipe
1258,Machaeropterus deliciosus,Club-winged Manakin
1259,Machetornis rixosa,Cattle Tyrant
1260,Machlolophus spilonotus,Yellow-cheeked Tit
1261,Mackenziaena severa,Tufted Antshrike
1262,Macropygia phasianella,Brown Cuckoo-Dove
1263,Malacocincla abbotti,Abbott's Babbler
1264,Malaconotus blanchoti,Gray-headed Bushshrike
1265,Malurus cyaneus,Superb Fairywren
1266,Manacus candei,White-collared Manakin
1267,Manacus manacus,White-bearded Manakin
1268,Manacus vitellinus,Golden-collared Manakin
1269,Manorina melanocephala,Noisy Miner
1270,Manorina melanophrys,Bell Miner
1271,Mareca americana,American Wigeon
1272,Mareca penelope,Eurasian Wigeon
1273,Mareca strepera,Gadwall
1274,Margarops fuscatus,Pearly-eyed Thrasher
1275,Mecocerculus leucophrys,White-throated Tyrannulet
1276,Mecocerculus stictopterus,White-banded Tyrannulet
1277,Megaceryle alcyon,Belted Kingfisher
1278,Megaceryle torquata,Ringed Kingfisher
1279,Megalurus palustris,Striated Grassbird
1280,Megapodius reinwardt,Orange-footed Scrubfowl
1281,Megarynchus pitangua,Boat-billed Flycatcher
1282,Megascops asio,Eastern Screech-Owl
1283,Megascops choliba,Tropical Screech-Owl
1284,Megascops kennicottii,Western Screech-Owl
1285,Megascops trichopsis,Whiskered Screech-Owl
1286,Megascops watsonii,Tawny-bellied Screech-Owl
1287,Melanerpes aurifrons,Golden-fronted Woodpecker
1288,Melanerpes candidus,White Woodpecker
1289,Melanerpes carolinus,Red-bellied Woodpecker
1290,Melanerpes chrysogenys,Golden-cheeked Woodpecker
1291,Melanerpes cruentatus,Yellow-tufted Woodpecker
1292,Melanerpes erythrocephalus,Red-headed Woodpecker
1293,Melanerpes flavifrons,Yellow-fronted Woodpecker
1294,Melanerpes formicivorus,Acorn Woodpecker
1295,Melanerpes hoffmannii,Hoffmann's Woodpecker
1296,Melanerpes lewis,Lewis's Woodpecker
1297,Melanerpes rubricapillus,Red-crowned Woodpecker
1298,Melanerpes uropygialis,Gila Woodpecker
1299,Melanitta americana,Black Scoter
1300,Melanitta nigra,Common Scoter
1301,Melanochlora sultanea,Sultan Tit
1302,Melanocorypha calandra,Calandra Lark
1303,Melanoptila glabrirostris,Black Catbird
1304,Melanospiza bicolor,Black-faced Grassquit
1305,Melanotis caerulescens,Blue Mockingbird
1306,Melanotis hypoleucus,Blue-and-white Mockingbird
1307,Meleagris gallopavo,Wild Turkey
1308,Meliphaga lewinii,Lewin's Honeyeater
1309,Melithreptus albogularis,White-throated Honeyeater
1310,Melospiza georgiana,Swamp Sparrow
1311,Melospiza lincolnii,Lincoln's Sparrow
1312,Melospiza melodia,Song Sparrow
1313,Melozone aberti,Abert's Towhee
1314,Melozone albicollis,White-throated Towhee
1315,Melozone crissalis,California Towhee
1316,Melozone fusca,Canyon Towhee
1317,Menura novaehollandiae,Superb Lyrebird
1318,Mergus merganser,Common Merganser
1319,Mergus serrator,Red-breasted Merganser
1320,Merops apiaster,European Bee-eater
1321,Merops orientalis,Green Bee-eater
1322,Merops ornatus,Rainbow Bee-eater
1323,Merops persicus,Blue-cheeked Bee-eater
1324,Merops philippinus,Blue-tailed Bee-eater
1325,Mesembrinibis cayennensis,Green Ibis
1326,Metallura tyrianthina,Tyrian Metaltail
1327,Metopidius indicus,Bronze-winged Jacana
1328,Micrastur ruficollis,Barred Forest-Falcon
1329,Micrastur semitorquatus,Collared Forest-Falcon
1330,Micrathene whitneyi,Elf Owl
1331,Microbates cinereiventris,Tawny-faced Gnatwren
1332,Microcentrum rhombifolium,Greater Angle-wing
1333,Microcerculus marginatus,Scaly-breasted Wren
1334,Microcerculus philomela,Nightingale Wren
1335,Microeca flavigaster,Lemon-bellied Flycatcher
1336,Micropternus brachyurus,Rufous Woodpecker
1337,Microrhopias quixensis,Dot-winged Antwren
1338,Milvago chimachima,Yellow-headed Caracara
1339,Milvago chimango,Chimango Caracara
1340,Milvus migrans,Black Kite
1341,Milvus milvus,Red Kite
1342,Mimus gilvus,Tropical Mockingbird
1343,Mimus longicaudatus,Long-tailed Mockingbird
1344,Mimus polyglottos,Northern Mockingbird
1345,Mimus saturninus,Chalk-browed Mockingbird
1346,Mimus thenca,Chilean Mockingbird
1347,Miogryllus saussurei,Miogryllus saussurei
1348,Mionectes oleagineus,Ochre-bellied Flycatcher
1349,Mionectes olivaceus,Olive-striped Flycatcher
1350,Mionectes rufiventris,Gray-hooded Flycatcher
1351,Mirafra affinis,Jerdon's Bushlark
