dateTime,lightLevel
2022-03-25 19:09:34.303695,742
2022-03-25 19:09:46.304871,744
2022-03-25 19:09:58.291131,744
2022-03-25 19:10:10.277500,742
2022-03-25 19:10:22.278612,741
2022-03-25 19:10:34.264701,742
2022-03-25 19:10:46.266093,743
2022-03-25 19:10:58.267494,741
2022-03-25 19:11:10.253924,744
2022-03-25 19:11:22.255160,748
2022-03-25 19:11:34.241710,742
2022-03-25 19:11:46.242843,744
2022-03-25 19:11:58.244358,741
2022-03-25 19:12:10.230863,745
2022-03-25 19:12:22.232117,743
2022-03-25 19:12:34.233644,743
2022-03-25 19:12:46.220037,740
2022-03-25 19:12:58.221555,745
2022-03-25 19:13:10.207611,746
2022-03-25 19:13:22.208829,744
2022-03-25 19:13:34.195121,744
2022-03-25 19:13:46.196258,746
2022-03-25 19:13:58.182407,740
2022-03-25 19:14:10.183748,746
2022-03-25 19:14:22.169872,748
2022-03-25 19:14:34.171191,743
2022-03-25 19:14:46.157485,742
2022-03-25 19:14:58.158991,741
2022-03-25 19:15:10.160631,740
2022-03-25 19:15:22.162131,744
2022-03-25 19:15:34.163892,743
2022-03-25 19:15:46.149973,746
2022-03-25 19:15:58.136195,741
2022-03-25 19:16:10.137567,741
2022-03-25 19:16:22.138970,742
2022-03-25 19:16:34.125498,741
2022-03-25 19:16:46.126619,742
2022-03-25 19:16:58.112804,740
2022-03-25 19:17:10.113927,744
2022-03-25 19:17:22.100306,744
2022-03-25 19:17:34.101937,747
2022-03-25 19:17:46.102972,742
2022-03-25 19:17:58.089502,742
2022-03-25 19:18:10.090783,742
2022-03-25 19:18:22.076984,745
2022-03-25 19:18:34.078286,744
2022-03-25 19:18:46.079874,746
2022-03-25 19:18:58.066282,743
2022-03-25 19:19:10.067719,747
2022-03-25 19:19:22.054228,742
2022-03-25 19:19:34.055490,744
2022-03-25 19:19:46.056793,745
2022-03-25 19:19:58.043151,744
2022-03-25 19:20:10.044548,747
2022-03-25 19:20:22.030723,745
2022-03-25 19:20:34.032156,744
2022-03-25 19:20:46.033568,745
2022-03-25 19:20:58.019793,743
2022-03-25 19:21:10.021291,744
2022-03-25 19:21:22.007372,744
2022-03-25 19:21:34.008716,745
2022-03-25 19:21:45.995026,744
2022-03-25 19:21:57.996257,742
2022-03-25 19:22:09.982531,744
2022-03-25 19:22:21.984013,742
2022-03-25 19:22:33.970152,742
2022-03-25 19:22:45.971699,749
2022-03-25 19:22:57.972942,746
2022-03-25 19:23:09.959146,741
2022-03-25 19:23:21.960813,744
2022-03-25 19:23:33.962135,743
2022-03-25 19:23:45.948592,746
2022-03-25 19:23:57.949999,747
2022-03-25 19:24:09.951573,746
2022-03-25 19:24:21.953090,741
2022-03-25 19:24:33.939671,747
2022-03-25 19:24:45.941175,745
2022-03-25 19:24:57.942516,744
2022-03-25 19:25:09.928941,741
2022-03-25 19:25:21.930289,743
2022-03-25 19:25:33.916717,742
2022-03-25 19:25:45.918067,745
2022-03-25 19:25:57.919255,742
2022-03-25 19:26:09.905621,746
2022-03-25 19:26:21.907086,743
2022-03-25 19:26:33.893411,742
2022-03-25 19:26:45.894897,744
2022-03-25 19:26:57.896230,744
2022-03-25 19:27:09.882348,745
2022-03-25 19:27:21.883900,746
2022-03-25 19:27:33.870154,744
2022-03-25 19:27:45.871414,744
2022-03-25 19:27:57.857853,746
2022-03-25 19:28:09.859058,745
