dateTime,uvLevel
2022-03-25 19:09:35.643713,1
2022-03-25 19:09:47.661387,0
2022-03-25 19:09:59.694138,0
2022-03-25 19:10:11.711644,1
2022-03-25 19:10:23.729528,1
2022-03-25 19:10:35.762501,1
2022-03-25 19:10:47.780182,2
2022-03-25 19:10:59.798083,1
2022-03-25 19:11:11.830836,0
2022-03-25 19:11:23.848714,0
2022-03-25 19:11:35.866549,1
2022-03-25 19:11:47.899433,1
2022-03-25 19:11:59.917183,0
2022-03-25 19:12:11.934950,0
2022-03-25 19:12:23.967805,0
2022-03-25 19:12:35.985399,1
2022-03-25 19:12:48.002945,1
2022-03-25 19:13:00.020719,0
2022-03-25 19:13:12.053403,2
2022-03-25 19:13:24.071278,0
2022-03-25 19:13:36.088902,2
2022-03-25 19:13:48.121604,0
2022-03-25 19:14:00.139191,0
2022-03-25 19:14:12.172248,1
2022-03-25 19:14:24.190070,0
2022-03-25 19:14:36.222913,0
2022-03-25 19:14:48.240297,0
2022-03-25 19:15:00.258065,1
2022-03-25 19:15:12.275970,0
2022-03-25 19:15:24.308810,0
2022-03-25 19:15:36.326524,0
2022-03-25 19:15:48.344340,0
2022-03-25 19:16:00.377189,0
2022-03-25 19:16:12.395372,2
2022-03-25 19:16:24.428109,1
2022-03-25 19:16:36.445669,0
2022-03-25 19:16:48.463613,1
2022-03-25 19:17:00.496404,0
2022-03-25 19:17:12.514056,0
2022-03-25 19:17:24.547257,1
2022-03-25 19:17:36.564866,0
2022-03-25 19:17:48.582438,1
2022-03-25 19:18:00.615161,2
2022-03-25 19:18:12.632803,0
2022-03-25 19:18:24.650223,0
2022-03-25 19:18:36.668033,0
2022-03-25 19:18:48.685511,0
2022-03-25 19:19:00.718384,0
2022-03-25 19:19:12.736149,2
2022-03-25 19:19:24.753850,2
2022-03-25 19:19:36.786682,1
2022-03-25 19:19:48.804440,0
2022-03-25 19:20:00.837145,1
2022-03-25 19:20:12.854952,0
2022-03-25 19:20:24.872418,2
2022-03-25 19:20:36.890313,0
2022-03-25 19:20:48.907941,1
2022-03-25 19:21:00.940838,2
2022-03-25 19:21:12.958841,0
2022-03-25 19:21:24.991631,1
2022-03-25 19:21:37.009530,1
2022-03-25 19:21:49.027471,1
2022-03-25 19:22:01.059867,0
2022-03-25 19:22:13.077665,0
2022-03-25 19:22:25.110600,1
2022-03-25 19:22:37.128499,2
2022-03-25 19:22:49.146464,1
2022-03-25 19:23:01.179350,1
2022-03-25 19:23:13.196932,1
2022-03-25 19:23:25.214810,1
2022-03-25 19:23:37.247490,0
2022-03-25 19:23:49.265073,1
2022-03-25 19:24:01.282674,0
2022-03-25 19:24:13.300311,1
2022-03-25 19:24:25.333052,1
2022-03-25 19:24:37.350832,2
2022-03-25 19:24:49.368574,2
2022-03-25 19:25:01.401285,0
2022-03-25 19:25:13.418990,1
2022-03-25 19:25:25.452243,1
2022-03-25 19:25:37.469681,2
2022-03-25 19:25:49.487547,0
2022-03-25 19:26:01.505229,1
2022-03-25 19:26:13.538013,1
2022-03-25 19:26:25.555757,1
2022-03-25 19:26:37.573512,1
2022-03-25 19:26:49.606248,2
2022-03-25 19:27:01.623788,0
2022-03-25 19:27:13.641517,1
2022-03-25 19:27:25.659370,0
2022-03-25 19:27:37.692092,1
2022-03-25 19:27:49.709978,1
2022-03-25 19:28:01.742859,2
2022-03-25 19:28:13.760701,1
2022-03-25 19:28:25.778151,1
2022-03-25 19:28:37.796064,1
2022-03-25 19:28:49.829200,2
2022-03-25 19:29:01.847052,0
2022-03-25 19:29:13.864712,1
2022-03-25 19:29:25.897305,0
2022-03-25 19:29:37.915190,0
2022-03-25 19:29:49.933103,1
2022-03-25 19:30:01.965824,1
2022-03-25 19:30:13.983452,0
2022-03-25 19:30:26.016590,1
2022-03-25 19:30:38.034280,0
2022-03-25 19:30:50.051907,1
2022-03-25 19:31:02.069813,1
2022-03-25 19:31:14.102595,1
2022-03-25 19:31:26.120290,1
2022-03-25 19:31:38.138169,0
2022-03-25 19:31:50.170748,0
2022-03-25 19:32:02.188475,0
2022-03-25 19:32:14.206192,0
2022-03-25 19:32:26.223862,0
2022-03-25 19:32:38.241205,2
2022-03-25 19:32:50.274210,1
2022-03-25 19:33:02.292227,0
2022-03-25 19:33:14.325080,1
2022-03-25 19:33:26.342805,0
2022-03-25 19:33:38.375666,0
2022-03-25 19:33:50.393496,1
2022-03-25 19:34:02.411535,0
2022-03-25 19:34:14.444208,2
2022-03-25 19:34:26.462123,0
2022-03-25 19:34:38.494772,0
2022-03-25 19:34:50.512594,1
2022-03-25 19:35:02.545594,1
2022-03-25 19:35:14.563339,1
2022-03-25 19:35:26.580824,1
2022-03-25 19:35:38.598296,0
2022-03-25 19:35:50.631078,1
2022-03-25 19:36:02.648982,1
2022-03-25 19:36:14.666828,0
2022-03-25 19:36:26.699834,0
2022-03-25 19:36:38.717595,1
2022-03-25 19:36:50.750417,0
2022-03-25 19:37:02.768005,0
2022-03-25 19:37:14.785786,0
2022-03-25 19:37:26.803402,1
2022-03-25 19:37:38.821003,2
2022-03-25 19:37:50.853663,0
2022-03-25 19:38:02.871514,1
2022-03-25 19:38:14.889252,1
2022-03-25 19:38:26.922414,2
2022-03-25 19:38:38.940077,1
2022-03-25 19:38:50.957923,0
2022-03-25 19:39:02.990320,2
2022-03-25 19:39:15.007982,0
